lea,district,fy,group,measure,value,reconciles,doc_id
01250000,Harvard,2021,MCAS Performance,Math Grades 3-8 % Meets or Exceeds,0.633,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,MCAS Performance,ELA Grade 10 % Meets or Exceeds,0.92,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,MCAS Performance,Math Grade 10 % Meets or Exceeds,0.907,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Expenditures Per Pupil,Administration,645,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Expenditures Per Pupil,Instructional Leadership,1209,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Expenditures Per Pupil,Teachers,7871,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Expenditures Per Pupil,Other Teaching Services,1708,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Expenditures Per Pupil,Professional Development,78,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Expenditures Per Pupil,"Instructional Materials, Equipment and Technology",813,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Expenditures Per Pupil,"Guidance, Counseling and Testing",652,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Expenditures Per Pupil,Pupil Services,1704,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Expenditures Per Pupil,Operations and Maintenance,1593,yes,sources/dese/radar-district-comparison.xlsx
