fy,lea,district,geo_level,grade_span,placement_at_start,cohort_cnt,no_iep_cnt,no_iep_pct,included_cnt,included_pct,sub_separate_cnt,sub_separate_pct,out_of_district_cnt,out_of_district_pct,unaccounted_cnt,reconciles,doc_id
2021,01250000,Harvard,district,K-2,Inclusive Setting,15,6,0.4,9,0.6,0,0.0,0,0.0,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,01250000,Harvard,district,K-2,Substantially Separate Classroom,1,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,01620000,Lunenburg,district,K-12,Inclusive Setting,135,51,0.378,78,0.578,5,0.037,1,0.007,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,01620000,Lunenburg,district,K-12,Substantially Separate Classroom,22,4,0.182,5,0.227,8,0.364,5,0.227,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,01620000,Lunenburg,district,K-2,Inclusive Setting,45,18,0.4,25,0.556,2,0.044,0,0.0,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,01620000,Lunenburg,district,K-2,Substantially Separate Classroom,8,4,0.5,1,0.125,2,0.25,1,0.125,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,Inclusive Setting,248,65,0.262,155,0.625,25,0.101,3,0.012,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,Substantially Separate Classroom,22,0,0.0,7,0.318,12,0.545,3,0.136,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,06100000,Ashburnham-Westminster,district,K-2,Inclusive Setting,55,25,0.455,30,0.545,0,0.0,0,0.0,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,06100000,Ashburnham-Westminster,district,K-2,Substantially Separate Classroom,4,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
