fy,department,person,title,page,as_printed
2021,Ad Hoc Open Space Advisory Committee,Brandon Kibbe,Chairman,98,"Respectfully submitted,"
2021,Board of Assessors,Richard Letarte,"Chairman Christine C. Higdon, Member Kevin Fish, Member",38,"Respectfully submitted,"
2021,Conservation Commission,Bob Pease,"Chair Richard Bursch, Vice-Chair Patricia Adams",55,"Respectfully Submitted,"
2021,Council on Aging,Susan Doherty,Director,56,Respectfully submitted
2021,Historical Commission,Richard L McGrath,Chair,66,Submitted by
2022,,Chad Adams,Principal,108,"Respectfully submitted,"
2022,,Heather R. Lemieux,Town Manager,23,"Respectfully submitted,"
2022,,Heidi Champagne,Principal,111,"Respectfully Submitted,"
2022,,Julianna Hanscom,Director of Special Services,106,"Respectfully Submitted, Julianna Hanscom"
2022,,Kate Burnham,Superintendent,101,"Respectfully Submitted,"
2022,,Michael Cassidy,Business Manager/HR Director,103,"Respectfully Submitted,"
2022,,Muir Haman,"Directory, Lunenburg Public Library",68,"Respectfully submitted,"
2022,,Nadine Lorenzen,Food Service Director,107,"Respectfully Submitted,"
2022,,Stephen Pusateri,Director of Buildings and Grounds,103,"Respectfully submitted,"
2022,,Thomas R. Browne,Superintendent-Director,121,"Respectfully submitted,"
2022,,Tim Santry,Principal,114,"Respectfully Submitted,"
2022,Ad Hoc Open Space Advisory Committee,Michael Toohill,Chair,96,"Respectfully submitted,"
2022,Board of Assessors,Richard Letarte,"Chairman Christine C.Higdon, Member Kevin Fish, Member",39,"Respectfully submitted,"
2022,Conservation Commission,Bob Pease,"Chair Mary Wilson, Vice-Chair Richard Tremblay, Clerk",56,"Respectfully Submitted,"
2022,Council on Aging,Susan Doherty,Director,57,Respectfully Submitted
2022,Veterans' Services,David Lauzon Jr,,77,"Respectfully submitted,"
2023,,Annica Scott,Director of Teaching & Learning,123,"Respectfully Submitted,"
2023,,Brian Laffond,"Chair Sarah Cammer, Vice-Chair John Rabbitt, Clerk",46,"Respectfully submitted,"
2023,,Carla Squier,Principal,129,"Respectfully submitted,"
2023,,Chad Adams,Principal,126,"Respectfully submitted,"
2023,,Eric Hevy,Director of Facilities and Grounds,119,"Respectfully submitted,"
2023,,Information Technology,,120,"Respectfully Submitted,"
2023,,Julianna Hanscom,Director of Special Services,122,"Respectfully Submitted,"
2023,,Kate Burnham,"nham, Superintendent",117,"Respectfully Submitted,"
2023,,LARGE-SCALE GROUND-MOUNTED PHOTOVOLTAIC INSTALLATION,,184,"tions stricken-through, or take any other action relative thereto. (Submitted by the Planning Board)"
2023,,Mary Wilson,"Chair Robert Pease, Vice-Chair Richard Bursch",62,"Respectfully Submitted,"
2023,,Muir Haman,"Director, Lunenburg Public Library",74,"Respectfully submitted,"
2023,,Nadine Lorenzen,Food Service Director,124,"Respectfully Submitted,"
