fy,section,department,printed_from,printed_to,pdf_from,pdf_to,state,as_printed
2016,Miscellaneous Information,TOWN OFFICES HOURS Inside Back Cover,5,5,5,5,report,TOWN OFFICES HOURS Inside Back Cover 5
2017,Table Of Contents,Lunenburg Profile Elected Officials- State & Local Appointed Officials,9,15,9,15,report,Lunenburg Profile Elected Officials- State & Local Appointed Officials ............ 9
2017,Administration,Town Manager Report,16,19,16,19,report,Town Manager Report.. 16
2017,Administration,"Accountant Balance Sheet for year ending June 30, 2017",20,20,20,20,report,"Accountant Balance Sheet for year ending June 30, 2017 20"
2017,Administration,General Funds Revenue Chart,21,22,21,22,report,General Funds Revenue Chart 21
2017,Administration,FY 2017 Receipts 22 General Fund Expenditures Chart,23,23,23,23,report,FY 2017 Receipts 22 General Fund Expenditures Chart 23
2017,Administration,General Fund Appropriations Summary & Classification of Accounts,24,28,24,28,report,General Fund Appropriations Summary & Classification of Accounts 24
2017,Administration,Special Revenue Funds,29,33,29,33,report,Special Revenue Funds 29
2017,Administration,Capital Projects Fund,34,34,34,34,report,Capital Projects Fund 34
2017,Administration,Board of Assessors,35,35,35,35,report,Board of Assessors 35
2017,Administration,"Treasurer/Tax Collector Treasurer's Cash as of June 30, 2017",36,36,36,36,report,"Treasurer/Tax Collector Treasurer's Cash as of June 30, 2017 36"
2017,Administration,Trust Funds,37,39,37,39,report,Trust Funds 37
2017,Administration,Five Year Outstanding Debt,40,40,40,40,report,Five Year Outstanding Debt 40
2017,Administration,"Debt Repayment Schedule as of June 30, 2017",41,42,41,42,report,"Debt Repayment Schedule as of June 30, 2017 41"
2017,Administration,Collection of Taxes,43,47,43,47,report,Collection of Taxes 43
2017,Town Services,Agricultural Commission,,,,,no report submitted,Agricultural Commission - no report submitted
2017,Town Services,Architectural Preservation District Commission,48,48,48,48,report,Architectural Preservation District Commission 48
2017,Town Services,Building Department,48,48,48,48,report,Building Department 48
2017,Town Services,Cemetery Commission,49,50,49,50,report,Cemetery Commission 49
2017,Town Services,Conservation Commission,51,52,51,52,report,Conservation Commission 51
2017,Town Services,Council on Aging,53,53,53,53,report,Council on Aging 53
2017,Town Services,Cultural Council,54,54,54,54,report,Cultural Council 54
2017,Town Services,Department of Public Works,55,58,55,58,report,Department of Public Works 55
2017,Town Services,Finance Committee,59,60,59,60,report,Finance Committee 59
2017,Town Services,Green Community Task Force,,,,,no report submitted,Green Community Task Force - no report submitted
2017,Town Services,Historical Commission,61,61,61,61,report,Historical Commission 61
2017,Town Services,Information Technology,62,62,62,62,report,Information Technology 62
2017,Town Services,Public Library,63,64,63,64,report,Public Library... 63
2017,Town Services,Public Access Channel Committee,65,69,65,69,report,Public Access Channel Committee.. 65
2017,Town Services,Senior Property Tax Work Off Program,70,70,70,70,report,Senior Property Tax Work Off Program 70
2017,Town Services,Sewer Commission,71,73,71,73,report,Sewer Commission 71
2017,Town Services,Veterans Services,,,,,no report submitted,Veterans Services - no report submitted
2017,Protection Of Persons & Property,Board of Health,74,74,74,74,report,Board of Health 74
2017,Protection Of Persons & Property,Nashoba Associated Boards of Health,75,78,75,78,report,Nashoba Associated Boards of Health 75
2017,Protection Of Persons & Property,Fire Department,79,81,79,81,report,Fire Department 79
2017,Protection Of Persons & Property,Police Department,82,89,82,89,report,Police Department 82
2017,Planning,Capital Planning Committee,90,90,90,90,report,Capital Planning Committee 90
2017,Planning,Planning Board,91,92,91,92,report,Planning Board 91
2017,Planning,Zoning Board of Appeals,93,96,93,96,report,Zoning Board of Appeals 93
2017,Lunenburg Public Schools,Superintendent Message,97,99,97,99,report,Superintendent Message 97
2017,Lunenburg Public Schools,School Facilities,100,100,100,100,report,School Facilities 100
2017,Lunenburg Public Schools,Technology Department,101,101,101,101,report,Technology Department 101
2017,Lunenburg Public Schools,Special Services,102,104,102,104,report,Special Services 102
2017,Lunenburg Public Schools,School Lunch Program,105,105,105,105,report,School Lunch Program. 105
2017,Lunenburg Public Schools,Primary School,105,108,105,108,report,Primary School 105
2017,Lunenburg Public Schools,Turkey Hill Elementary,109,112,109,112,report,Turkey Hill Elementary 109
2017,Lunenburg Public Schools,Middle School,113,115,113,115,report,Middle School 113
2017,Lunenburg Public Schools,High School,116,121,116,121,report,High School 116
2017,Montachusett Regional Vocational Technical School,Superintendent Message,122,151,122,151,report,Superintendent Message 122
2017,Town Clerk,Vital Records Report,152,152,152,152,report,Vital Records Report. 152
2017,Town Clerk,"Annual Town Meeting, May 6, 2017",153,167,153,167,report,"Annual Town Meeting, May 6, 2017 153"
