fy,section,department,printed_from,printed_to,pdf_from,pdf_to,state,as_printed
2015,Accountant,Special Revenue Funds,29,33,29,33,report,Special Revenue Funds 29-33
2015,Accountant,Capital Projects Fund,34,35,34,35,report,Capital Projects Fund 34
2015,Accountant,"Board of Assessors 35,",36,36,36,36,report,"Board of Assessors 35,36"
2015,Treasurer/Tax Collector,"Treasurer's Cash as of June 30, 2015",37,37,37,37,report,"Treasurer's Cash as of June 30, 2015 37"
2015,Treasurer/Tax Collector,Trust Funds,38,40,38,40,report,Trust Funds 38-40
2015,Treasurer/Tax Collector,Five Year Outstanding Debt,41,42,41,42,report,Five Year Outstanding Debt 41
2015,Treasurer/Tax Collector,"Debt Repayment Schedule as of June 30, 2015 42,",43,44,43,44,report,"Debt Repayment Schedule as of June 30, 2015 42,43"
2015,Treasurer/Tax Collector,"Collection of Taxes 44,",45,48,45,48,report,"Collection of Taxes 44,45"
2015,Town Services,Agricultural Commission,49,49,49,49,report,Agricultural Commission 49
2015,Town Services,Building Department,50,50,50,50,report,Building Department 50
2015,Town Services,Cemetery Commission,51,51,51,51,report,Cemetery Commission 51
2015,Town Services,Conservation Commission,52,52,52,52,report,Conservation Commission 52
2015,Town Services,Council on Aging,53,53,53,53,report,Council on Aging 53
2015,Town Services,Cultural Council,54,54,54,54,report,Cultural Council 54
2015,Town Services,Department of Public Works,55,59,55,59,report,Department of Public Works 55-59
2015,Town Services,Green Community Task Force,60,60,60,60,report,Green Community Task Force 60
2015,Town Services,Historical Commission,,,,,no report submitted,Historical Commission- NO REPORT
2015,Town Services,Information Technology,61,61,61,61,report,Information Technology 61
2015,Town Services,Public Access Channel Committee,62,66,62,66,report,Public Access Channel Committee 62-66
2015,Town Services,"Public Library 67,",68,68,68,68,report,"Public Library 67,68"
2015,Town Services,Senior Property Tax Work Off Program,69,70,69,70,report,Senior Property Tax Work Off Program 69
2015,Town Services,"Sewer Commission 70,",71,74,71,74,report,"Sewer Commission 70,71"
2015,Town Services,Veterans' Agent,,,,,no report submitted,Veterans' Agent-NO REPORT
2015,Protection Of Persons & Property,Board of Health,75,75,75,75,report,Board of Health 75
2015,Protection Of Persons & Property,Nashoba Associated Boards of Health,76,80,76,80,report,Nashoba Associated Boards of Health 76-80
2015,Protection Of Persons & Property,Fire Department,81,83,81,83,report,Fire Department 81
2015,Protection Of Persons & Property,Police Department,84,92,84,92,report,Police Department 84
2015,Planning,Capital Planning Committee,93,93,93,93,report,Capital Planning Committee 93
2015,Planning,Planning Board,94,94,94,94,report,Planning Board 94
2015,Planning,Zoning Board of Appeals,95,98,95,98,report,Zoning Board of Appeals 95
2015,Education,LUNENBURG PUBLIC SCHOOLS,99,99,99,99,report,LUNENBURG PUBLIC SCHOOLS 99
2015,Education,Superintendent Message,100,101,100,101,report,Superintendent Message 100
2015,Education,School Facilities,102,102,102,102,report,School Facilities 102
2015,Education,Special Services,103,104,103,104,report,Special Services 103
2015,Education,Primary School,105,107,105,107,report,Primary School 105
2015,Education,Turkey Hill Middle School,108,111,108,111,report,Turkey Hill Middle School 108
2015,Education,High School,112,116,112,116,report,High School 112
