fy,lea,district,geo_level,grades,grades_level,student_group,student_group_level,indicator_category,indicator,printing,denominator_cnt,measure_cnt,measure_pct,value_type,doc_id
2021,01620000,Lunenburg,district,Grade 10,subset,Students with Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - ELA (Grades 10),1,11,,,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grade 10,subset,Students with Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - Math (Grades 10),1,11,,,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grade 10,subset,Students with Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on ELA (Grade 10),1,11,3,27.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grade 10,subset,Students with Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on Math (Grade 10),1,11,3,27.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grade 10,subset,Students without Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - ELA (Grades 10),1,92,,61.7,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grade 10,subset,Students without Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - Math (Grades 10),1,92,,45.7,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grade 10,subset,Students without Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on ELA (Grade 10),1,96,86,90.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grade 10,subset,Students without Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on Math (Grade 10),1,96,80,83.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grades 3-8,subset,All Students,all,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - ELA (Grades 3-8),1,479,,44.6,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grades 3-8,subset,All Students,all,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - Math (Grades 3-8),1,478,,33.3,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grades 3-8,subset,All Students,all,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on ELA (Grades 3-8),1,728,367,50.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grades 3-8,subset,All Students,all,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on Math (Grades 3-8),1,728,267,37.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grades 3-8,subset,All Students,all,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on Science (Grades 5 and 8),1,236,129,55.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grades 3-8,subset,Students with Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - ELA (Grades 3-8),1,62,,39.7,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grades 3-8,subset,Students with Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - Math (Grades 3-8),1,61,,37.8,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grades 3-8,subset,Students with Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on ELA (Grades 3-8),1,114,23,20.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grades 3-8,subset,Students with Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on Math (Grades 3-8),1,114,15,13.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grades 3-8,subset,Students with Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on Science (Grades 5 and 8),1,40,12,30.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grades 3-8,subset,Students without Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - ELA (Grades 3-8),1,417,,45.3,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grades 3-8,subset,Students without Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - Math (Grades 3-8),1,417,,32.6,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grades 3-8,subset,Students without Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on ELA (Grades 3-8),1,614,344,56.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grades 3-8,subset,Students without Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on Math (Grades 3-8),1,614,252,41.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
