season,scope,metric,fy,printed,printed_cell,printed_raw,summed_from_rows,difference,ties
Winter,HS,Dues & Fees,2025,19844.36,BC16,19844.36,19844.36,0.0,1
Winter,HS,Equipment,2024,2567.2,BH16,2567.2,2567.2,0.0,1
Winter,HS,Equipment,2025,1768.5,BI16,1768.5,1768.5,0.0,1
Winter,HS,Expected Fees Received,2024,32575.0,W16,32575,32575.0,0.0,1
Winter,HS,Expected Fees Received,2025,29990.0,X16,29990,29990.0,0.0,1
Winter,HS,Fee Received,2024,32542.5,AC16,32542.5,32542.5,0.0,1
Winter,HS,Fee Received,2025,27990.0,AD16,27990,27990.0,0.0,1
Winter,HS,Full Pay,2024,118.0,E16,118,118.0,0.0,1
Winter,HS,Full Pay,2025,109.0,F16,109,109.0,0.0,1
Winter,HS,Full Waiver,2024,16.0,N16,16,16.0,0.0,1
Winter,HS,Full Waiver,2025,18.0,O16,18,18.0,0.0,1
Winter,HS,HS Red Fee,2024,5.0,Q16,5,204.0,-199.0,0
Winter,HS,HS Red Fee,2025,4.0,R16,4,383.5,-379.5,0
Winter,HS,MS Red Fee,2024,0.0,T16,0,0,0,1
Winter,HS,MS Red Fee,2025,0.0,U16,0,0,0,1
Winter,HS,Official,2024,17975.5,AG16,17975.5,17975.5,0.0,1
Winter,HS,Official,2025,19864.0,AH16,19864,19864.0,0.0,1
Winter,HS,Police/ EMS,2024,,AM16,,639.0,-639.0,0
Winter,HS,Police/ EMS,2025,,AN16,,268.4,-268.4,0
Winter,HS,Total Athletes,2024,170.0,B16,170,160.0,10.0,0
Winter,HS,Total Athletes,2025,149.0,C16,149,146.0,3.0,0
Winter,HS,Total Athletes,2026,,D16,,156.0,-156.0,0
Winter,HS,Total Expenses,2024,115702.13999999998,BN16,115702.13999999998,115702.14,0.0,1
Winter,HS,Total Expenses,2025,110691.51,BO16,110691.51,110691.51,0.0,1
Winter,HS,Transportation,2024,35825.5,AS16,35825.5,35825.5,0.0,1
Winter,HS,Transportation,2025,26418.75,AT16,26418.75,26418.75,0.0,1
Winter,HS,Uniforms,2024,4564.96,BE16,4564.96,4564.96,0.0,1
Winter,HS,Uniforms,2025,5738.0,BF16,5738,5738.0,0.0,1
Winter,MS,2nd Sibling,2024,0.0,H21,0,0,0,1
Winter,MS,2nd Sibling,2025,2.0,I21,2,2.0,0.0,1
Winter,MS,3rd sibling,2024,0.0,K21,0,0,0,1
Winter,MS,3rd sibling,2025,0.0,L21,0,0,0,1
Winter,MS,Assignor,2025,171.0,AK21,171,171.0,0.0,1
Winter,MS,Coaches,2024,7822.0,AP21,7822,7822.0,0.0,1
Winter,MS,Coaches,2025,3070.0,AQ21,3070,3070.0,0.0,1
Winter,MS,Due,2024,0.0,Z21,0,0,0,1
Winter,MS,Due,2025,1000.0,AA21,1000,1000.0,0.0,1
Winter,MS,Expected Fees Received,2024,4800.0,W21,4800,4800.0,0.0,1
Winter,MS,Expected Fees Received,2025,5880.0,X21,5880,5880.0,0.0,1
Winter,MS,Fee Received,2024,4800.0,AC21,4800,4800.0,0.0,1
Winter,MS,Fee Received,2025,4880.0,AD21,4880,4880.0,0.0,1
Winter,MS,Full Pay,2024,24.0,E21,24,24.0,0.0,1
Winter,MS,Full Pay,2025,28.0,F21,28,28.0,0.0,1
Winter,MS,Full Waiver,2024,2.0,N21,2,2.0,0.0,1
Winter,MS,Full Waiver,2025,3.0,O21,3,3.0,0.0,1
Winter,MS,HS Red Fee,2024,0.0,Q21,0,0,0,1
Winter,MS,HS Red Fee,2025,,R21,,0,0,1
Winter,MS,MS Red Fee,2024,,T21,,0,0,1
Winter,MS,MS Red Fee,2025,,U21,,0,0,1
Winter,MS,Official,2024,2272.0,AG21,2272,2272.0,0.0,1
Winter,MS,Official,2025,1752.0,AH21,1752,1752.0,0.0,1
Winter,MS,Total Athletes,2024,27.0,B21,27,27.0,0.0,1
Winter,MS,Total Athletes,2025,33.0,C21,33,33.0,0.0,1
Winter,MS,Total Athletes,2026,,D21,,26.0,-26.0,0
Winter,MS,Total Expenses,2024,15056.5,BN21,15056.5,15056.5,0.0,1
Winter,MS,Total Expenses,2025,7951.75,BO21,7951.75,7951.75,0.0,1
Winter,MS,Transportation,2024,3266.5,AS21,3266.5,3266.5,0.0,1
Winter,MS,Transportation,2025,2958.75,AT21,2958.75,2958.75,0.0,1
Winter,MS,Uniforms,2024,1696.0,BE21,1696,1696.0,0.0,1
Spring,ALL,2nd Sibling,2024,28.0,H25,28,25.0,3.0,0
Spring,ALL,2nd Sibling,2025,20.0,I25,20,19.0,1.0,0
Spring,ALL,3rd sibling,2024,5.0,K25,5,5.0,0.0,1
Spring,ALL,3rd sibling,2025,3.0,L25,3,3.0,0.0,1
Spring,ALL,Assignor,2025,944.5,AK25,944.5,944.5,0.0,1
Spring,ALL,Coaches,2024,43801.0,AP25,43801,43801.0,0.0,1
Spring,ALL,Costs for all 3 Seasons,2024,10830.92,AY25,10830.92,0,10830.92,0
Spring,ALL,Costs for all 3 Seasons,2025,12258.05,AZ25,12258.05,0,12258.05,0
Spring,ALL,Due,2024,282.5,Z25,282.5,282.5,0.0,1
Spring,ALL,Due,2025,4900.0,AA25,4900,4900.0,0.0,1
Spring,ALL,Dues & Fees,2024,1458.5,BB25,1458.5,1458.5,0.0,1
Spring,ALL,Dues & Fees,2025,1635.0,BC25,1635,1440.0,195.0,0
Spring,ALL,Equipment,2024,3378.8399999999997,BH25,3378.8399999999997,3378.84,0.0,1
Spring,ALL,Equipment,2025,1769.0,BI25,1769,1769.0,0.0,1
Spring,ALL,Expected Fees Received,2024,43580.0,W25,43580,43580.0,0.0,1
Spring,ALL,Expected Fees Received,2025,42842.0,X25,42842,42842.0,0.0,1
Spring,ALL,Full Pay,2024,166.0,E25,166,166.0,0.0,1
Spring,ALL,Full Pay,2025,186.0,F25,186,186.0,0.0,1
Spring,ALL,Full Waiver,2024,18.0,N25,18,18.0,0.0,1
Spring,ALL,Full Waiver,2025,22.0,O25,22,22.0,0.0,1
Spring,ALL,HS Red Fee,2024,8.0,Q25,8,6.0,2.0,0
Spring,ALL,HS Red Fee,2025,,R25,,2.0,-2.0,0
Spring,ALL,MS Red Fee,2024,0.0,T25,0,0,0,1
Spring,ALL,MS Red Fee,2025,2.0,U25,2,2.0,0.0,1
Spring,ALL,Official,2024,11766.5,AG25,11766.5,11766.5,0.0,1
Spring,ALL,Official,2025,12015.5,AH25,12015.5,12015.5,0.0,1
Spring,ALL,Police/ EMS,2024,,AM25,,0,0,1
Spring,ALL,Police/ EMS,2025,,AN25,,0,0,1
Spring,ALL,Total Athletes,2024,236.0,B25,236,236.0,0.0,1
Spring,ALL,Total Athletes,2025,235.0,C25,235,235.0,0.0,1
Spring,ALL,Total Athletes,2026,,D25,,210.0,-210.0,0
Spring,ALL,Total Expenses,2024,102466.70000000001,BN25,102466.70000000001,102466.7,0.0,1
Spring,ALL,Total Expenses,2025,17224.940000000002,BO25,17224.940000000002,35272.44,-18047.5,0
Spring,ALL,Total Fees Received,2024,43297.5,AC25,43297.5,43297.5,0.0,1
Spring,ALL,Total Fees Received,2025,37942.0,AD25,37942,37942.0,0.0,1
Spring,ALL,Transportation,2024,33835.5,AS25,33835.5,33835.5,0.0,1
Spring,ALL,Transportation,2025,0.0,AT25,0,18242.5,-18242.5,0
Spring,ALL,Uniforms,2024,8226.36,BE25,8226.36,8226.36,0.0,1
Spring,ALL,Uniforms,2025,860.94,BF25,860.94,860.94,0.0,1
Spring,HS,2nd Sibling,2024,27.0,H18,27,24.0,3.0,0
