board,year,agendas,minutes,minutes_share,basis
Board of Health,2022,16,10,0.625,held
Board of Health,2023,15,10,0.6667,held
Board of Health,2024,16,11,0.6875,held
Board of Health,2025,15,14,0.9333,held
Board of Health,2026,11,8,0.7273,held
Board of Registrars,2013,1,0,0.0,held
Board of Registrars,2016,1,0,0.0,held
Board of Registrars,2018,4,0,0.0,held
Board of Registrars,2019,1,0,0.0,held
Board of Registrars,2021,1,0,0.0,held
Board of Registrars,2022,7,0,0.0,held
Board of Registrars,2023,2,0,0.0,held
Board of Registrars,2024,7,0,0.0,held
Board of Registrars,2025,2,0,0.0,held
Board of Registrars,2026,9,0,0.0,held
Budget Task Force,2024,15,0,0.0,held
Building Reuse Committee,2013,11,2,0.1818,held
Building Reuse Committee,2014,10,9,0.9,held
Building Reuse Committee,2015,15,11,0.7333,held
Building Reuse Committee,2017,4,0,0.0,held
Building Reuse Committee,2019,1,1,1.0,held
By-Law Committee,2016,9,8,0.8889,held
By-Law Committee,2021,5,5,1.0,held
By-Law Committee,2022,15,8,0.5333,held
By-Law Committee,2023,2,0,0.0,held
By-Law Committee,2025,5,2,0.4,held
By-Law Committee,2026,5,0,0.0,held
Cable Advisory Committee,2015,9,2,0.2222,held
Cable Advisory Committee,2016,2,0,0.0,held
Cable Advisory Committee,2017,11,8,0.7273,held
Cable Advisory Committee,2018,2,2,1.0,held
Cable Advisory Committee,2026,2,1,0.5,held
Capital Planning Committee,2010,8,0,0.0,held
Capital Planning Committee,2011,14,0,0.0,held
Capital Planning Committee,2012,6,0,0.0,held
Capital Planning Committee,2013,24,24,1.0,held
Capital Planning Committee,2014,9,8,0.8889,held
Capital Planning Committee,2015,9,7,0.7778,held
Capital Planning Committee,2016,10,10,1.0,held
Capital Planning Committee,2017,18,0,0.0,held
Capital Planning Committee,2018,10,6,0.6,held
Capital Planning Committee,2019,8,5,0.625,held
Capital Planning Committee,2020,12,1,0.0833,held
Capital Planning Committee,2021,17,5,0.2941,held
Capital Planning Committee,2022,15,0,0.0,held
Capital Planning Committee,2023,11,3,0.2727,held
Capital Planning Committee,2024,9,6,0.6667,held
Capital Planning Committee,2025,10,0,0.0,held
Capital Planning Committee,2026,2,0,0.0,held
Cemetery Commission,2010,4,0,0.0,held
Cemetery Commission,2011,5,0,0.0,held
Cemetery Commission,2012,5,0,0.0,held
Cemetery Commission,2013,1,0,0.0,held
Cemetery Commission,2014,9,3,0.3333,held
Cemetery Commission,2015,5,1,0.2,held
Cemetery Commission,2016,8,5,0.625,held
Cemetery Commission,2017,12,7,0.5833,held
Cemetery Commission,2018,17,17,1.0,held
Cemetery Commission,2019,12,10,0.8333,held
Cemetery Commission,2020,3,2,0.6667,held
Cemetery Commission,2021,11,10,0.9091,held
Cemetery Commission,2022,11,11,1.0,held
Cemetery Commission,2023,14,13,0.9286,held
Cemetery Commission,2024,9,8,0.8889,held
Cemetery Commission,2025,17,16,0.9412,held
Cemetery Commission,2026,8,5,0.625,held
Charter Review Committee,2017,6,6,1.0,held
Charter Review Committee,2018,16,10,0.625,held
Charter Review Committee,2019,6,2,0.3333,held
Conservation Commission,2010,19,15,0.7895,held
Conservation Commission,2011,21,16,0.7619,held
Conservation Commission,2012,18,18,1.0,held
Conservation Commission,2013,19,0,0.0,held
Conservation Commission,2014,17,17,1.0,held
Conservation Commission,2015,27,21,0.7778,held
Conservation Commission,2016,31,0,0.0,held
Conservation Commission,2017,27,22,0.8148,held
Conservation Commission,2018,30,22,0.7333,held
Conservation Commission,2019,27,22,0.8148,held
Conservation Commission,2020,26,20,0.7692,held
Conservation Commission,2021,27,17,0.6296,held
Conservation Commission,2022,23,22,0.9565,held
Conservation Commission,2023,26,22,0.8462,held
Conservation Commission,2024,21,21,1.0,held
Conservation Commission,2025,28,26,0.9286,held
Conservation Commission,2026,28,14,0.5,held
Conservation Commission Public Hearing,2025,14,0,0.0,held
Council on Aging,2010,11,11,1.0,held
Council on Aging,2011,21,14,0.6667,held
Council on Aging,2012,23,20,0.8696,held
Council on Aging,2013,26,14,0.5385,held
Council on Aging,2014,14,10,0.7143,held
Council on Aging,2015,11,11,1.0,held
Council on Aging,2016,11,11,1.0,held
Council on Aging,2017,11,11,1.0,held
Council on Aging,2018,12,11,0.9167,held
Council on Aging,2019,12,12,1.0,held
Council on Aging,2020,6,4,0.6667,held
Council on Aging,2021,9,1,0.1111,held
Council on Aging,2022,10,10,1.0,held
Council on Aging,2023,15,10,0.6667,held
Council on Aging,2024,13,12,0.9231,held
Council on Aging,2025,12,12,1.0,held
Council on Aging,2026,9,7,0.7778,held
Cultural Council,2011,1,1,1.0,held
Cultural Council,2012,1,1,1.0,held
Cultural Council,2013,1,1,1.0,held
Cultural Council,2014,1,1,1.0,held
Cultural Council,2015,2,0,0.0,held
Cultural Council,2016,1,0,0.0,held
Cultural Council,2017,2,0,0.0,held
Cultural Council,2018,7,1,0.1429,held
Cultural Council,2019,12,5,0.4167,held
Cultural Council,2020,1,1,1.0,held
Cultural Council,2021,2,1,0.5,held
Cultural Council,2022,4,2,0.5,held
Cultural Council,2023,10,5,0.5,held
Cultural Council,2024,10,1,0.1,held
Cultural Council,2025,7,0,0.0,held
Cultural Council,2026,2,0,0.0,held
Devens Regional Oversight Committee,2011,9,4,0.4444,held
Devens Regional Oversight Committee,2012,9,2,0.2222,held
Devens Regional Oversight Committee,2013,2,0,0.0,held
Economic Development Committee,2021,9,0,0.0,held
Economic Development Committee,2022,9,3,0.3333,held
Economic Development Committee,2023,12,4,0.3333,held
Economic Development Committee,2024,8,5,0.625,held
Economic Development Committee,2025,8,2,0.25,held
Economic Development Committee,2026,7,2,0.2857,held
Finance  Committee Appointing  Committee,2011,5,0,0.0,held
Finance  Committee Appointing  Committee,2012,2,0,0.0,held
Finance  Committee Appointing  Committee,2013,1,0,0.0,held
Finance  Committee Appointing  Committee,2014,1,0,0.0,held
Finance  Committee Appointing  Committee,2015,1,0,0.0,held
Finance  Committee Appointing  Committee,2016,2,0,0.0,held
Finance  Committee Appointing  Committee,2017,1,1,1.0,held
Finance  Committee Appointing  Committee,2018,3,3,1.0,held
Finance  Committee Appointing  Committee,2019,3,0,0.0,held
Finance  Committee Appointing  Committee,2020,2,0,0.0,held
Finance  Committee Appointing  Committee,2021,1,0,0.0,held
Finance  Committee Appointing  Committee,2022,1,1,1.0,held
Finance  Committee Appointing  Committee,2023,4,4,1.0,held
Finance  Committee Appointing  Committee,2024,2,2,1.0,held
Finance  Committee Appointing  Committee,2025,3,1,0.3333,held
Finance  Committee Appointing  Committee,2026,2,1,0.5,held
Finance Committee,2010,24,8,0.3333,held
Finance Committee,2011,24,24,1.0,held
Finance Committee,2012,27,23,0.8519,held
Finance Committee,2013,25,23,0.92,held
Finance Committee,2014,23,22,0.9565,held
Finance Committee,2015,26,22,0.8462,held
Finance Committee,2016,30,20,0.6667,held
Finance Committee,2017,26,18,0.6923,held
Finance Committee,2018,24,11,0.4583,held
Finance Committee,2019,28,21,0.75,held
Finance Committee,2020,30,21,0.7,held
Finance Committee,2021,30,21,0.7,held
Finance Committee,2022,25,24,0.96,held
Finance Committee,2023,19,18,0.9474,held
Finance Committee,2024,29,29,1.0,held
Finance Committee,2025,24,22,0.9167,held
Finance Committee,2026,22,17,0.7727,held
Finance Committee Public Hearing,2023,1,1,1.0,held
Finance Committee Public Hearing,2024,1,0,0.0,held
Finance Committee Public Hearing,2025,3,0,0.0,held
Finance Committee Public Hearing,2026,2,0,0.0,held
Green Communities Committee,2009,14,13,0.9286,held
Green Communities Committee,2010,11,9,0.8182,held
Green Communities Committee,2011,15,14,0.9333,held
Green Communities Committee,2012,4,4,1.0,held
Green Communities Committee,2013,10,8,0.8,held
Green Communities Committee,2014,10,6,0.6,held
Green Communities Committee,2015,4,3,0.75,held
Green Communities Committee,2016,5,3,0.6,held
Green Communities Committee,2017,3,2,0.6667,held
Green Communities Committee,2018,3,3,1.0,held
Green Communities Committee,2019,1,0,0.0,held
Green Communities Committee,2020,4,3,0.75,held
Green Communities Committee,2021,6,3,0.5,held
Green Communities Committee,2022,8,1,0.125,held
Green Communities Committee,2023,7,2,0.2857,held
Green Communities Committee,2024,11,9,0.8182,held
Green Communities Committee,2025,8,7,0.875,held
Green Communities Committee,2026,2,0,0.0,held
Historical Commission,2010,6,4,0.6667,held
Historical Commission,2011,11,8,0.7273,held
Historical Commission,2012,10,10,1.0,held
Historical Commission,2013,11,11,1.0,held
Historical Commission,2014,14,14,1.0,held
Historical Commission,2015,19,18,0.9474,held
Historical Commission,2016,11,11,1.0,held
Historical Commission,2017,11,6,0.5455,held
Historical Commission,2018,12,7,0.5833,held
Historical Commission,2019,9,9,1.0,held
Historical Commission,2020,8,2,0.25,held
Historical Commission,2021,12,5,0.4167,held
Historical Commission,2022,11,6,0.5455,held
Historical Commission,2023,10,8,0.8,held
Historical Commission,2024,14,9,0.6429,held
Historical Commission,2025,12,8,0.6667,held
Historical Commission,2026,8,4,0.5,held
Land Acquisition Committee,2019,11,5,0.4545,held
Land Acquisition Committee,2020,1,0,0.0,held
Library Board of Trustees,2009,11,10,0.9091,held
Library Board of Trustees,2010,10,10,1.0,held
Library Board of Trustees,2011,11,10,0.9091,held
Library Board of Trustees,2012,24,21,0.875,held
Library Board of Trustees,2013,15,14,0.9333,held
Library Board of Trustees,2014,16,15,0.9375,held
Library Board of Trustees,2015,14,14,1.0,held
Library Board of Trustees,2016,11,11,1.0,held
Library Board of Trustees,2017,13,7,0.5385,held
Library Board of Trustees,2018,11,8,0.7273,held
Library Board of Trustees,2019,13,11,0.8462,held
Library Board of Trustees,2020,14,14,1.0,held
Library Board of Trustees,2021,13,12,0.9231,held
Library Board of Trustees,2022,12,12,1.0,held
Library Board of Trustees,2023,11,11,1.0,held
Library Board of Trustees,2024,11,11,1.0,held
Library Board of Trustees,2025,12,11,0.9167,held
Library Board of Trustees,2026,7,6,0.8571,held
Lunenburg 300th Anniversary Committee,2023,2,2,1.0,held
Lunenburg 300th Anniversary Committee,2024,3,3,1.0,held
Lunenburg 300th Anniversary Committee,2025,3,3,1.0,held
Lunenburg 300th Anniversary Committee,2026,8,6,0.75,held
Lunenburg Hazard Mitigation Plan Team Committee,2012,2,1,0.5,held
Lunenburg Hazard Mitigation Plan Team Committee,2013,1,0,0.0,held
Lunenburg Housing Authority,2010,5,5,1.0,held
Lunenburg Housing Authority,2011,9,7,0.7778,held
Lunenburg Housing Authority,2012,7,7,1.0,held
Lunenburg Housing Authority,2013,7,7,1.0,held
Lunenburg Housing Authority,2014,7,7,1.0,held
Lunenburg Housing Authority,2015,6,6,1.0,held
Lunenburg Housing Authority,2016,8,5,0.625,held
Lunenburg Housing Authority,2017,8,7,0.875,held
Lunenburg Housing Authority,2018,6,5,0.8333,held
Lunenburg Housing Authority,2019,10,8,0.8,held
Lunenburg Housing Authority,2020,9,8,0.8889,held
Lunenburg Housing Authority,2021,13,9,0.6923,held
Lunenburg Housing Authority,2022,13,7,0.5385,held
Lunenburg Housing Authority,2023,12,10,0.8333,held
Lunenburg Housing Authority,2024,10,8,0.8,held
Lunenburg Housing Authority,2025,8,6,0.75,held
Lunenburg Housing Authority,2026,5,0,0.0,held
Lunenburg Municipal Building Design Committee,2019,3,0,0.0,held
Lunenburg Municipal Building Design Committee,2020,21,9,0.4286,held
Lunenburg Municipal Building Design Committee,2021,21,12,0.5714,held
Lunenburg Municipal Building Design Committee,2022,12,7,0.5833,held
Lunenburg Municipal Building Design Committee,2023,7,2,0.2857,held
Lunenburg Municipal Building Design Committee,2024,9,9,1.0,held
Lunenburg Municipal Building Design Committee,2025,20,11,0.55,held
Lunenburg Municipal Building Design Committee,2026,10,8,0.8,held
Master Plan Steering Committee,2023,4,4,1.0,held
Master Plan Steering Committee,2024,7,4,0.5714,held
Master Plan Steering Committee,2025,13,4,0.3077,held
Master Plan Steering Committee,2026,1,0,0.0,held
Nashoba Valley Reginal Dispatch Committee,2017,14,0,0.0,held
Nashoba Valley Reginal Dispatch Committee,2019,1,0,0.0,held
Nashoba Valley Reginal Dispatch Committee,2022,5,0,0.0,held
Nashoba Valley Reginal Dispatch Committee,2023,6,5,0.8333,held
North Central Climate Change Coalition,2024,2,0,0.0,held
North Central Climate Change Coalition,2025,4,0,0.0,held
Open Space Committee,2011,2,0,0.0,held
Open Space Committee,2012,4,4,1.0,held
Open Space Committee,2013,12,8,0.6667,held
Open Space Committee,2014,18,4,0.2222,held
Open Space Committee,2015,4,0,0.0,held
Open Space Committee,2016,2,0,0.0,held
Open Space Committee,2017,1,0,0.0,held
Open Space Committee,2018,15,9,0.6,held
Open Space Committee,2019,8,3,0.375,held
Open Space Committee,2020,5,4,0.8,held
Open Space Committee,2021,8,5,0.625,held
Open Space Committee,2022,8,3,0.375,held
Open Space Committee,2023,8,5,0.625,held
Open Space Committee,2024,14,3,0.2143,held
Open Space Committee,2025,10,6,0.6,held
Open Space Committee,2026,7,2,0.2857,held
Parks Commission,2010,1,1,1.0,held
Parks Commission,2011,4,3,0.75,held
Parks Commission,2012,3,2,0.6667,held
Parks Commission,2014,12,9,0.75,held
Parks Commission,2015,10,3,0.3,held
Parks Commission,2016,13,8,0.6154,held
Parks Commission,2017,13,13,1.0,held
Parks Commission,2018,17,13,0.7647,held
Parks Commission,2019,14,6,0.4286,held
Parks Commission,2020,19,0,0.0,held
Parks Commission,2021,19,16,0.8421,held
Parks Commission,2022,17,14,0.8235,held
Parks Commission,2023,14,13,0.9286,held
Parks Commission,2024,18,17,0.9444,held
Parks Commission,2025,12,8,0.6667,held
Parks Commission,2026,10,6,0.6,held
Personnel Committee,2009,8,4,0.5,held
Personnel Committee,2010,13,9,0.6923,held
Personnel Committee,2011,10,10,1.0,held
Personnel Committee,2012,10,7,0.7,held
Personnel Committee,2013,7,4,0.5714,held
Personnel Committee,2014,1,1,1.0,held
Personnel Committee,2015,10,8,0.8,held
Personnel Committee,2016,10,6,0.6,held
Personnel Committee,2017,5,4,0.8,held
Personnel Committee,2018,7,6,0.8571,held
Personnel Committee,2019,10,6,0.6,held
Personnel Committee,2020,9,8,0.8889,held
Personnel Committee,2021,9,9,1.0,held
Personnel Committee,2022,25,19,0.76,held
Personnel Committee,2023,26,25,0.9615,held
Personnel Committee,2024,12,8,0.6667,held
Personnel Committee,2026,5,0,0.0,held
Planning Board,2009,25,24,0.96,held
Planning Board,2010,25,22,0.88,held
Planning Board,2011,50,31,0.62,held
Planning Board,2012,40,28,0.7,held
Planning Board,2013,51,34,0.6667,held
Planning Board,2014,60,53,0.8833,held
Planning Board,2015,44,41,0.9318,held
Planning Board,2016,46,45,0.9783,held
Planning Board,2017,61,46,0.7541,held
Planning Board,2018,40,34,0.85,held
Planning Board,2019,47,42,0.8936,held
Planning Board,2020,37,29,0.7838,held
Planning Board,2021,63,51,0.8095,held
Planning Board,2022,59,43,0.7288,held
Planning Board,2023,37,23,0.6216,held
Planning Board,2024,23,15,0.6522,held
Planning Board,2025,29,23,0.7931,held
Planning Board,2026,17,13,0.7647,held
Planning Board Public Hearing,2023,3,0,0.0,held
Planning Board Public Hearing,2024,14,2,0.1429,held
Planning Board Public Hearing,2025,20,0,0.0,held
Planning Board Public Hearing,2026,23,0,0.0,held
Public Access Cable Committee (PACC),2010,7,7,1.0,held
Public Access Cable Committee (PACC),2011,13,13,1.0,held
Public Access Cable Committee (PACC),2012,13,11,0.8462,held
Public Access Cable Committee (PACC),2013,18,13,0.7222,held
Public Access Cable Committee (PACC),2014,2,1,0.5,held
Public Access Cable Committee (PACC),2015,13,13,1.0,held
Public Access Cable Committee (PACC),2016,17,15,0.8824,held
Public Access Cable Committee (PACC),2017,12,11,0.9167,held
Public Access Cable Committee (PACC),2018,9,7,0.7778,held
Public Access Cable Committee (PACC),2019,13,11,0.8462,held
Public Access Cable Committee (PACC),2020,11,3,0.2727,held
Public Access Cable Committee (PACC),2021,14,9,0.6429,held
Public Access Cable Committee (PACC),2022,14,10,0.7143,held
Public Access Cable Committee (PACC),2023,12,10,0.8333,held
Public Access Cable Committee (PACC),2024,14,9,0.6429,held
Public Access Cable Committee (PACC),2025,14,13,0.9286,held
Public Access Cable Committee (PACC),2026,9,6,0.6667,held
School Advisory Councils & Committees,2011,2,2,1.0,held
School Advisory Councils & Committees,2012,6,0,0.0,held
School Advisory Councils & Committees,2013,8,0,0.0,held
School Advisory Councils & Committees,2014,23,13,0.5652,held
School Advisory Councils & Committees,2015,15,3,0.2,held
School Advisory Councils & Committees,2016,15,0,0.0,held
School Advisory Councils & Committees,2017,18,1,0.0556,held
School Advisory Councils & Committees,2018,15,2,0.1333,held
School Advisory Councils & Committees,2019,33,4,0.1212,held
School Advisory Councils & Committees,2020,15,4,0.2667,held
School Advisory Councils & Committees,2021,31,5,0.1613,held
School Advisory Councils & Committees,2022,29,0,0.0,held
School Advisory Councils & Committees,2023,27,0,0.0,held
School Advisory Councils & Committees,2024,22,0,0.0,held
School Advisory Councils & Committees,2025,24,4,0.1667,held
School Advisory Councils & Committees,2026,9,2,0.2222,held
School Building Committee Meeting,2012,20,17,0.85,held
School Building Committee Meeting,2013,21,12,0.5714,held
School Building Committee Meeting,2014,20,17,0.85,held
School Building Committee Meeting,2015,13,11,0.8462,held
School Building Committee Meeting,2016,13,4,0.3077,held
School Building Committee Meeting,2017,3,0,0.0,held
School Building Committee Meeting,2018,2,1,0.5,held
School Building Committee Meeting,2019,6,0,0.0,held
School Committee,2021,6,0,0.0,held
School Committee,2022,33,0,0.0,held
School Committee,2023,49,9,0.1837,held
School Committee,2024,36,27,0.75,held
School Committee,2025,49,31,0.6327,held
School Committee,2026,28,14,0.5,held
Select Board,2010,19,17,0.8947,held
Select Board,2011,39,30,0.7692,held
Select Board,2012,44,38,0.8636,held
Select Board,2013,43,37,0.8605,held
Select Board,2014,41,28,0.6829,held
Select Board,2015,40,29,0.725,held
Select Board,2016,65,61,0.9385,held
Select Board,2017,58,49,0.8448,held
Select Board,2018,56,43,0.7679,held
Select Board,2019,56,39,0.6964,held
Select Board,2020,50,39,0.78,held
Select Board,2021,48,41,0.8542,held
Select Board,2022,39,36,0.9231,held
Select Board,2023,42,42,1.0,held
Select Board,2024,49,30,0.6122,held
Select Board,2025,62,24,0.3871,held
Select Board,2026,47,14,0.2979,held
Select Board Public Hearing,2024,6,0,0.0,held
Select Board Public Hearing,2025,7,0,0.0,held
Select Board Public Hearing,2026,7,0,0.0,held
Senior Citizens Tax Work Off Committee,2011,3,3,1.0,held
Senior Citizens Tax Work Off Committee,2012,2,2,1.0,held
Senior Citizens Tax Work Off Committee,2013,4,2,0.5,held
Senior Citizens Tax Work Off Committee,2014,3,3,1.0,held
Senior Citizens Tax Work Off Committee,2015,9,7,0.7778,held
Senior Citizens Tax Work Off Committee,2016,7,6,0.8571,held
Senior Citizens Tax Work Off Committee,2017,5,4,0.8,held
Senior Citizens Tax Work Off Committee,2018,3,0,0.0,held
Sewer Commission,2010,19,14,0.7368,held
Sewer Commission,2011,21,7,0.3333,held
Sewer Commission,2012,23,9,0.3913,held
Sewer Commission,2013,29,3,0.1034,held
Sewer Commission,2014,30,17,0.5667,held
Sewer Commission,2015,32,18,0.5625,held
Sewer Commission,2016,36,24,0.6667,held
Sewer Commission,2017,31,23,0.7419,held
Sewer Commission,2018,28,25,0.8929,held
Sewer Commission,2019,31,20,0.6452,held
Sewer Commission,2020,27,22,0.8148,held
Sewer Commission,2021,26,18,0.6923,held
Sewer Commission,2022,23,21,0.913,held
Sewer Commission,2023,22,19,0.8636,held
Sewer Commission,2024,24,19,0.7917,held
Sewer Commission,2025,26,23,0.8846,held
Sewer Commission,2026,19,14,0.7368,held
Stormwater Task Force,2016,20,17,0.85,held
Stormwater Task Force,2017,16,11,0.6875,held
Stormwater Task Force,2018,13,11,0.8462,held
Stormwater Task Force,2019,16,13,0.8125,held
Stormwater Task Force,2020,2,0,0.0,held
Stormwater Task Force,2021,5,1,0.2,held
Stormwater Task Force,2022,10,3,0.3,held
Stormwater Task Force,2023,6,2,0.3333,held
Stormwater Task Force,2024,9,5,0.5556,held
Stormwater Task Force,2025,14,0,0.0,held
Stormwater Task Force,2026,17,0,0.0,held
Town Manager Screening Committee,2016,7,2,0.2857,held
Town Manager Screening Committee,2024,11,6,0.5455,held
Trust Fund Commission,2014,1,0,0.0,held
Trust Fund Commission,2017,1,0,0.0,held
Trust Fund Commission,2019,6,5,0.8333,held
Trust Fund Commission,2025,11,8,0.7273,held
Trust Fund Commission,2026,11,9,0.8182,held
Zoning Board of Appeals,2010,9,0,0.0,held
Zoning Board of Appeals,2011,18,3,0.1667,held
Zoning Board of Appeals,2012,21,1,0.0476,held
Zoning Board of Appeals,2013,38,1,0.0263,held
Zoning Board of Appeals,2014,35,3,0.0857,held
Zoning Board of Appeals,2015,23,8,0.3478,held
Zoning Board of Appeals,2016,20,0,0.0,held
Zoning Board of Appeals,2017,25,0,0.0,held
Zoning Board of Appeals,2018,11,1,0.0909,held
Zoning Board of Appeals,2019,20,0,0.0,held
Zoning Board of Appeals,2021,14,0,0.0,held
Zoning Board of Appeals,2022,19,0,0.0,held
Zoning Board of Appeals,2023,28,0,0.0,held
Zoning Board of Appeals,2024,23,0,0.0,held
Zoning Board of Appeals,2025,15,1,0.0667,held
Zoning Board of Appeals,2026,18,0,0.0,held
