fy,lea,district,race_ethnicity,race_level,job_class,educators_headcount,educators_pct,hires_headcount,hires_pct,retained_headcount,retained_pct,reconciles,doc_id
2021,07350000,North Middlesex,Amer. Ind. or Alaska Nat.,detail,Administrator,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Amer. Ind. or Alaska Nat.,detail,Other - Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Amer. Ind. or Alaska Nat.,detail,Other - Non-Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Amer. Ind. or Alaska Nat.,detail,Paraprofessional,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Amer. Ind. or Alaska Nat.,detail,Teacher,0,0,0,0,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Asian,detail,Administrator,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Asian,detail,Other - Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Asian,detail,Other - Non-Licensed,1,0.023,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Asian,detail,Paraprofessional,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Asian,detail,Teacher,0,0,0,0,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Hispanic/Latino,detail,Administrator,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Hispanic/Latino,detail,Other - Licensed,1,0.033,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Hispanic/Latino,detail,Other - Non-Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Hispanic/Latino,detail,Paraprofessional,1,0.012,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Hispanic/Latino,detail,Teacher,1,0.004,0,0,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,"Multi-race, Non-Hisp./Lat.",detail,Administrator,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,"Multi-race, Non-Hisp./Lat.",detail,Other - Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,"Multi-race, Non-Hisp./Lat.",detail,Other - Non-Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,"Multi-race, Non-Hisp./Lat.",detail,Paraprofessional,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,"Multi-race, Non-Hisp./Lat.",detail,Teacher,1,0.004,1,0.056,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Nat. Haw. or Pacif. Isl.,detail,Administrator,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Nat. Haw. or Pacif. Isl.,detail,Other - Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Nat. Haw. or Pacif. Isl.,detail,Other - Non-Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Nat. Haw. or Pacif. Isl.,detail,Paraprofessional,1,0.012,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Nat. Haw. or Pacif. Isl.,detail,Teacher,0,0,0,0,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,White,detail,Administrator,20,1,,,17,0.895,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,White,detail,Other - Licensed,29,0.967,,,27,0.818,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,White,detail,Other - Non-Licensed,43,0.977,,,44,0.936,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,White,detail,Paraprofessional,82,0.976,,,73,0.811,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,White,detail,Teacher,243,0.988,17,0.944,222,0.892,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Afr. Amer./Black,detail,Administrator,849,0.087,110,0.133,626,0.808,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Afr. Amer./Black,detail,Other - Licensed,576,0.048,85,0.052,372,0.758,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Afr. Amer./Black,detail,Other - Non-Licensed,1006,0.054,106,0.062,674,0.802,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Afr. Amer./Black,detail,Paraprofessional,1880,0.071,212,0.057,1423,0.765,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Afr. Amer./Black,detail,Teacher,2542,0.033,317,0.047,2011,0.773,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,All Educators,all,Administrator,9722,1,826,1,8658,0.855,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,All Educators,all,Other - Licensed,11890,1,1621,1,9110,0.781,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,All Educators,all,Other - Non-Licensed,18772,1,1722,1,15380,0.827,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,All Educators,all,Paraprofessional,26469,1,3717,1,19730,0.769,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,All Educators,all,Teacher,77556,1,6784,1,67885,0.868,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Amer. Ind. or Alaska Nat.,detail,Administrator,9,0.001,1,0.001,10,0.909,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Amer. Ind. or Alaska Nat.,detail,Other - Licensed,15,0.001,2,0.001,12,0.923,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Amer. Ind. or Alaska Nat.,detail,Other - Non-Licensed,16,0.001,1,0.001,13,0.867,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Amer. Ind. or Alaska Nat.,detail,Paraprofessional,41,0.002,11,0.003,26,0.813,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Amer. Ind. or Alaska Nat.,detail,Teacher,67,0.001,13,0.002,50,0.746,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Asian,detail,Administrator,161,0.017,15,0.018,131,0.799,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Asian,detail,Other - Licensed,176,0.015,37,0.023,110,0.743,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Asian,detail,Other - Non-Licensed,312,0.017,35,0.02,222,0.819,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Asian,detail,Paraprofessional,666,0.025,115,0.031,436,0.79,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Asian,detail,Teacher,1347,0.017,191,0.028,1073,0.83,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Hispanic/Latino,detail,Administrator,517,0.053,70,0.085,354,0.752,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Hispanic/Latino,detail,Other - Licensed,569,0.048,108,0.067,368,0.77,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Hispanic/Latino,detail,Other - Non-Licensed,1504,0.08,174,0.101,1053,0.816,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Hispanic/Latino,detail,Paraprofessional,2150,0.081,290,0.078,1561,0.781,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Hispanic/Latino,detail,Teacher,2997,0.039,442,0.065,2292,0.814,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,"Multi-race, Non-Hisp./Lat.",detail,Administrator,71,0.007,12,0.015,54,0.885,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,"Multi-race, Non-Hisp./Lat.",detail,Other - Licensed,54,0.005,9,0.006,36,0.766,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,"Multi-race, Non-Hisp./Lat.",detail,Other - Non-Licensed,109,0.006,14,0.008,79,0.782,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,"Multi-race, Non-Hisp./Lat.",detail,Paraprofessional,187,0.007,35,0.009,114,0.765,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,"Multi-race, Non-Hisp./Lat.",detail,Teacher,417,0.005,64,0.009,334,0.839,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Nat. Haw. or Pacif. Isl.,detail,Administrator,8,0.001,0,0,8,0.8,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Nat. Haw. or Pacif. Isl.,detail,Other - Licensed,6,0.001,0,0,5,0.833,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Nat. Haw. or Pacif. Isl.,detail,Other - Non-Licensed,16,0.001,2,0.001,10,0.769,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Nat. Haw. or Pacif. Isl.,detail,Paraprofessional,30,0.001,8,0.002,16,0.727,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,Nat. Haw. or Pacif. Isl.,detail,Teacher,40,0.001,8,0.001,30,0.882,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,White,detail,Administrator,8107,0.834,618,0.748,7475,0.865,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,White,detail,Other - Licensed,10494,0.883,1380,0.851,8207,0.783,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,White,detail,Other - Non-Licensed,15809,0.842,1390,0.807,13329,0.83,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,White,detail,Paraprofessional,21515,0.813,3046,0.819,16154,0.768,yes,sources/state-dese/dese-educators-retention.xlsx
2022,00000000,State Totals,White,detail,Teacher,70146,0.904,5749,0.847,62095,0.875,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,Afr. Amer./Black,detail,Administrator,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,Afr. Amer./Black,detail,Other - Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,Afr. Amer./Black,detail,Other - Non-Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,Afr. Amer./Black,detail,Paraprofessional,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,Afr. Amer./Black,detail,Teacher,1,0.011,1,0.125,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,All Educators,all,Administrator,10,1,,,6,0.75,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,All Educators,all,Other - Licensed,10,1,,,8,0.889,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,All Educators,all,Other - Non-Licensed,18,1,,,17,0.81,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,All Educators,all,Paraprofessional,32,1,,,19,0.679,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,All Educators,all,Teacher,89,1,8,1,82,0.882,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,Amer. Ind. or Alaska Nat.,detail,Administrator,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,Amer. Ind. or Alaska Nat.,detail,Other - Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,Amer. Ind. or Alaska Nat.,detail,Other - Non-Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,Amer. Ind. or Alaska Nat.,detail,Paraprofessional,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
