id,kind,subkind,code,name,owner,owner_basis,relates_to,purpose,authority,trend_label,report
rev-430500,revenue,fee or permit,430500,MLC,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-430600,revenue,fee or permit,430600,CERT VTALS,town-clerk,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-430700,revenue,fee or permit,430700,BUS CERTIF,town-clerk,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-430800,revenue,fee or permit,430800,RES CERTIF,town-clerk,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-430900,revenue,fee or permit,430900,UCC FEES,town-clerk,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-431000,revenue,fee or permit,431000,POL LOCAL,police,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-431100,revenue,fee or permit,431100,CERT INSP,building-inspection,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-431200,revenue,fee or permit,431200,ONLINEFEES,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-431300,revenue,fee or permit,431300,CABLE TV,select-board,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-431400,revenue,fee or permit,431400,REL FEES,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-431500,revenue,fee or permit,431500,SEAL FEES,building-inspection,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-431600,revenue,fee or permit,431600,FIRE SERV,fire,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-431700,revenue,fee or permit,431700,TOWN REPOR,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-431800,revenue,fee or permit,431800,BOARD DOGS,animal-control,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-431900,revenue,fee or permit,431900,PS TUITION,treasurer-collector,"the department that raises it, by the account name",school-committee,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
