fy,side,item,amount,basis,source
2015,revolving,Athletic Transportation,40742,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2015,revolving,REVENUE — Fees,121875,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2015,revolving,REVENUE — Gate receipts,13892,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2016,general,Athletic Coaches,120646,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2016,general,Athletic Dues & Fees,9751,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2016,general,Athletic Equipment/Reconditioning,5265,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2016,general,Athletic Insurance,5990,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2016,general,Athletic New Equipment,5456,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2016,general,Athletic Officials,38997,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2016,general,Athletic Replacement of Uniforms,1669,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2016,general,Athletic Transportation,23000,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2016,general,Special Detail/Athletic Events,139,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2016,revolving,Athletic Coaches,40092,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2016,revolving,Athletic Expenses/Supplies,32623,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2016,revolving,Athletic Secretary,7796,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2016,revolving,Athletic Transportation,33308,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2016,revolving,REVENUE — Fees,103660,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2016,revolving,REVENUE — Gate receipts,17796,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2017,general,Athletic Coaches,130020,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2017,general,Athletic Dues & Fees,10782,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
