fy,edition,page,group,fund,forward,receipts,disbursements,carried,row_ties,document,read_by
2022,FY2022,35,PARKS & RECREATION,Park User Fees,66443.78,21152.06,21176.89,66418.95,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PARKS & RECREATION,Park Gift Fund,752.00,,,752.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,HIGHWAY DEPARTMENT,Chapter 90,-426717.54,448491.72,148426.49,-126652.31,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,HIGHWAY DEPARTMENT,DPW Roads Gift Fund,3330.00,,,3330.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,HIGHWAY DEPARTMENT,Highway Insurance Recoveries,795.82,,,795.82,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,HIGHWAY DEPARTMENT,Chapter 204/Acts of 1996,0.11,,,0.11,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,HIGHWAY DEPARTMENT,Small Bridge Program Grant,-50767.07,315917.39,265150.32,0.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,HIGHWAY DEPARTMENT,Complete Streets Grant,-1290.00,232597.85,231307.85,0.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,COUNCIL ON AGING,C.O.A./M.A.R.T. Revolving,-2663.35,35292.79,38976.82,-6347.38,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,COUNCIL ON AGING,C.O.A. Formula Grant,7158.26,25272.00,27983.95,4446.31,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,COUNCIL ON AGING,E.O.C.D. Senior Center Grant,1686.26,0.12,,1686.38,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,COUNCIL ON AGING,Venture Grant - Are You OK,24.00,,,24.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,COUNCIL ON AGING,Council on Aging Gift Fund,4442.97,4600.29,3000.00,6043.26,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,COUNCIL ON AGING,COA Program Grant,635.69,8000.00,3850.83,4784.86,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,LIBRARY,State Aid-Libraries,30695.00,21997.58,9843.38,42849.20,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,LIBRARY,Library Gift Fund,23572.54,4487.50,,28060.04,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,LIBRARY,Library Revolving Fund,2366.24,995.99,426.75,2935.48,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,LIBRARY,FY07 Public Libraries Fund,571.17,,,571.17,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,LIBRARY,State Earmarks - LED Lighting Library,0.00,20000.00,15544.41,4455.59,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,CEMETERIES,Sale of Cemetery Lots,87238.71,9956.95,15000.00,82195.66,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,CEMETERIES,North Cemetery Accessibility Grant,-32000.00,32000.00,,0.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,CEMETERIES,Lunenburg Cemetery Gift Fund,209.39,,,209.39,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,UNCLASSIFIED,Elderly/Disabled Fund,2487.14,,,2487.14,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,UNCLASSIFIED,Green Communities Grant,13307.57,5389.25,17800.87,895.95,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,UNCLASSIFIED,Agricultural Commission Grant,1401.00,1550.00,,2951.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,UNCLASSIFIED,MIIA Grant,0.00,10000.00,10000.00,0.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,UNCLASSIFIED,Bell Tower Mtc. Fund-Town Hall,2556.37,,,2556.37,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,UNCLASSIFIED,Historical Comm. Gift Fund,137.36,,,137.36,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,UNCLASSIFIED,Mass Historical Comm Grant-Town Hall,4150.00,,,4150.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
