board,board_slug,date,kind,file_id,url,first_seen,basis
Agricultural Commission,agricultural-commission,2021-04-15,minutes,497,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04152021-497,,seed
Agricultural Commission,agricultural-commission,2021-05-20,agenda,498,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05202021-498,,seed
Agricultural Commission,agricultural-commission,2021-05-20,minutes,498,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05202021-498,,seed
Agricultural Commission,agricultural-commission,2021-06-17,agenda,499,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06172021-499,,seed
Agricultural Commission,agricultural-commission,2021-07-15,agenda,500,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07152021-500,,seed
Agricultural Commission,agricultural-commission,2021-11-18,agenda,501,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11182021-501,,seed
Agricultural Commission,agricultural-commission,2021-11-18,minutes,501,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11182021-501,,seed
Agricultural Commission,agricultural-commission,2021-12-16,agenda,502,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12162021-502,,seed
Agricultural Commission,agricultural-commission,2022-02-17,agenda,1108,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02172022-1108,,seed
Agricultural Commission,agricultural-commission,2022-02-17,agenda,2106,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02172022-2106,,seed
Agricultural Commission,agricultural-commission,2022-02-17,minutes,1108,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02172022-1108,,seed
Agricultural Commission,agricultural-commission,2022-03-17,agenda,1109,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03172022-1109,,seed
Agricultural Commission,agricultural-commission,2022-04-21,agenda,1114,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04212022-1114,,seed
Agricultural Commission,agricultural-commission,2022-05-19,agenda,1117,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05192022-1117,,seed
Agricultural Commission,agricultural-commission,2022-06-16,agenda,1110,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06162022-1110,,seed
Agricultural Commission,agricultural-commission,2022-07-21,agenda,1116,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07212022-1116,,seed
Agricultural Commission,agricultural-commission,2022-08-05,agenda,1111,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08052022-1111,,seed
Agricultural Commission,agricultural-commission,2022-08-18,agenda,1112,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08182022-1112,,seed
Agricultural Commission,agricultural-commission,2022-09-15,agenda,1113,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09152022-1113,,seed
Agricultural Commission,agricultural-commission,2022-09-15,minutes,1113,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09152022-1113,,seed
Agricultural Commission,agricultural-commission,2022-10-20,agenda,1118,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10202022-1118,,seed
Agricultural Commission,agricultural-commission,2022-10-20,minutes,1118,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10202022-1118,,seed
Agricultural Commission,agricultural-commission,2022-12-15,agenda,1115,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12152022-1115,,seed
Agricultural Commission,agricultural-commission,2023-01-19,agenda,14,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01192023-14,,seed
