fy,department,person,title,page,as_printed
2021,Ad Hoc Open Space Advisory Committee,Alfred Gravelle,Chairman,98,"The Zoning Board consists of the following members: Alfred Gravelle, Chairman, James Besarkarski, Vice-"
2021,Ad Hoc Open Space Advisory Committee,Brandon Kibbe,Chairman,98,"Brandon Kibbe, Chairman"
2021,Board of Assessors,Richard Letarte,Chairman,38,"Richard Letarte, Chairman Christine C. Higdon, Member Kevin Fish, Member"
2021,Capital Planning Committee,Damon McQuaid,Chairman,96,"Damon McQuaid, Chairman, Member at Large"
2021,Capital Planning Committee,Tom Alonzo,Vice-Chairman,96,"Tom Alonzo, Vice-Chairman, Select Board Representative"
2021,Cemetery Commission,William Tyler,Chairman,53,"William Tyler, Chairman"
2021,Conservation Commission,Bob Pease,Chair,55,"Bob Pease, Chair Richard Bursch, Vice-Chair Patricia Adams"
2021,Conservation Commission,Richard Bursch,Vice-Chair,55,"Bob Pease, Chair Richard Bursch, Vice-Chair Patricia Adams"
2021,Planning Board,Tanner Cole,Chair,97,"Tanner Cole, Chair Matthew Allison, Vice Chair Paula Bertram, Clerk"
2021,Planning Board,Matthew Allison,Vice Chair,97,"Tanner Cole, Chair Matthew Allison, Vice Chair Paula Bertram, Clerk"
2021,Public Access Cable Committee,Steve Walker,Chair,70,"Steve Walker, Chair"
2021,Public Access Cable Committee,Faith Beall,Vice Chair,70,"Faith Beall, Vice Chair"
2022,Ad Hoc Open Space Advisory Committee,Michael Toohill,Chair,96,"Michael Toohill, Chair"
2022,Ad Hoc Open Space Advisory Committee,Tanner Cole,Chair,96,"Tanner Cole, Chair Matthew Brenner, Clerk Amanda Reid, Member"
2022,Ad Hoc Open Space Advisory Committee,Matthew Allison,Vice Chair,96,"Matthew Allison, Vice Chair Erik Torgersen, Member Adam R. Burney, Land Use Director"
2022,Board of Assessors,Richard Letarte,Chairman,39,"Richard Letarte, Chairman Christine C.Higdon, Member Kevin Fish, Member"
2022,Building Department,William Tyler,Chairman,54,"William Tyler, Chairman"
2022,Capital Planning Committee,Brian Lehtinen,Chair,94,"Brian Lehtinen, Chair, School Committee Representative"
2022,Capital Planning Committee,Tom Alonzo,Vice-Chair,94,"Tom Alonzo, Vice-Chair, Select Board Representative"
2022,Conservation Commission,Bob Pease,Chair,56,"Bob Pease, Chair Mary Wilson, Vice-Chair Richard Tremblay, Clerk"
2022,Conservation Commission,Mary Wilson,Vice-Chair,56,"Bob Pease, Chair Mary Wilson, Vice-Chair Richard Tremblay, Clerk"
2022,Finance Committee,Peter Beardmore,Chair,64,"Peter Beardmore, Chair"
2022,Finance Committee,Christopher Menard,Vice-Chair,64,"Christopher Menard, Vice-Chair"
2022,Historical Commission,Richard McGrath,Chair,65,"Richard McGrath, Chair, LHC"
2022,Historical Commission,Bill Lakso,Vice Chair,65,"Bill Lakso, Vice Chair"
2022,Public Access Cable Committee,Steve Walker,Chair,69,"Steve Walker, Chair"
2022,Public Access Cable Committee,Pete Lincoln,Vice Chair,69,"Pete Lincoln, Vice Chair"
2022,Sewer Commission •aaaaaaaaaaaaaa,John Reynolds,Chair,76,"John Reynolds, Chair"
2022,Sewer Commission •aaaaaaaaaaaaaa,Brett Ramsden,Vice-Chair,76,"Brett Ramsden, Vice-Chair"
2022,Zoning Board of Appeals,Alfred Gravelle,Chairman,97,"The Zoning Board consists of the following members: Alfred Gravelle, Chairman, James Besarkarski, Vice-Chairman,"
2022,Zoning Board of Appeals,James Besarkarski,Vice Chairman,97,"James Besarkarski, Vice Chairman"
2022,Zoning Board of Appeals,James Besarkarski,Vice-Chairman,97,"The Zoning Board consists of the following members: Alfred Gravelle, Chairman, James Besarkarski, Vice-Chairman,"
2023,Ad Hoc Open Space Advisory Committee,Michael Toohill,Chair,112,"Michael Toohill, Chair"
2023,Capital Planning Committee,Tom Alonzo,Chair,108,"Tom Alonzo, Chair, Select Board Representative"
2023,Capital Planning Committee,David Passios,Vice-Chair,108,"David Passios, Vice-Chair, Finance Committee Representative"
2023,Planning Board,Matthew Brenner,Chair,110,"Matthew Brenner, Chair Matthew Allison, Vice Chair Amanda Reid, Clerk"
2023,Planning Board,Matthew Allison,Vice Chair,110,"Matthew Brenner, Chair Matthew Allison, Vice Chair Amanda Reid, Clerk"
2023,Public Access Cable Committee,Steve Walker,Chair,75,"Steve Walker, Chair"
2023,Public Access Cable Committee,Faith Beall,Vice Chair,75,"Faith Beall, Vice Chair"
2023,Sewer Commission,John Reynolds,Chair,83,"John Reynolds, Chair"
2023,Sewer Commission,Brett Ramsden,Vice-Chair,83,"Brett Ramsden, Vice-Chair"
2024,Ad Hoc Open Space Advisory Committee to the Planning Board,Michael Toohill,Chair,91,"Michael Toohill, Chair"
2024,Board of Assessors,Brian Laffond,Chair,32,"Brian Laffond, Chair Sarah Cammer, Vice-Chair John Rabbitt, Clerk"
2024,Board of Assessors,Sarah Cammer,Vice-Chair,32,"Brian Laffond, Chair Sarah Cammer, Vice-Chair John Rabbitt, Clerk"
2024,Capital Planning Report,Tom Alonzo,Chair,87,"Tom Alonzo, Chair, Select Board Representative"
2024,Capital Planning Report,Chris Menard,Vice-Chair,87,"Chris Menard, Vice-Chair, Finance Committee Representative"
2024,Cemetery Commission,Nancy Foss- Yasko,Chair,42,"Nancy Foss- Yasko, Chair"
2024,Conservation Commission,Jenny Pewtherer,Chair,45,"Jenny Pewtherer, Chair"
2024,Conservation Commission,Richard Bursch,Vice-Chair,45,"Richard Bursch, Vice-Chair"
2024,Council on Aging,Deb Lincoln,Chairperson,46,"Select Board. The FY24 Council on Aging Board members were Chairperson Deb Lincoln,"
2024,Council on Aging,Jane Rabbitt,Vice-Chairperson,46,"Vice-Chairperson Jane Rabbitt, Ana Lockwood, Pete Lincoln, Jim McGuigan, Diane Nowd, Cathy"
2024,Finance Committee,Evan Watters,Chair,54,"The Lunenburg Finance Committee: Evan Watters, Chair; Christopher Menard, Vice-Chair; Thomas Balish,"
2024,Finance Committee,Christopher Menard,Vice-Chair,54,"The Lunenburg Finance Committee: Evan Watters, Chair; Christopher Menard, Vice-Chair; Thomas Balish,"
2024,Historical Committee,Richard McGrath,Chair,55,"Richard McGrath, Chair, LHC"
2024,Lunenburg Public Access,Steve Walker,Chair,60,"Steve Walker, Chair"
2024,Lunenburg Public Access,Faith Beall,Vice Chair,60,"Faith Beall, Vice Chair"
2024,Sewer Commission,Mike Mackin,Chair,68,"Mike Mackin, Chair"
2024,Sewer Commission,Brett Ramsden,Vice-Chair,68,"Brett Ramsden, Vice-Chair"
2024,Zoning Board of Appeals,Alfred Gravelle,Chairman,90,"The Zoning Board consists of the following members: Alfred Gravelle, Chairman, James Besarkarski, Vice-Chairman,"
2024,Zoning Board of Appeals,James Besarkarski,Vice Chairman,90,"James Besarkarski, Vice Chairman"
2024,Zoning Board of Appeals,James Besarkarski,Vice-Chairman,90,"The Zoning Board consists of the following members: Alfred Gravelle, Chairman, James Besarkarski, Vice-Chairman,"
2025,Committee Submitted Zoning Board of Appeals,Michael Toohill,Chair,86,"Michael Toohill, Chair"
2025,Committee Submitted Zoning Board of Appeals,Alfred Gravelle,Chairman,86,"Alfred Gravelle, Chairman"
2025,Committee Submitted Zoning Board of Appeals,James Besarkarski,Vice Chairman,86,"James Besarkarski, Vice Chairman"
