fy,measure,basis,districts,p_min,p25,median,p75,p_max,lunenburg,lunenburg_rank_of_districts,doc_id
2019,net school spending as a share of required,stage: actual,361,0.1715,1.1292,1.3164,1.5516,40.8658,1.2801,195 of 361,sources/state-dese/dese-ch70-district-profile.xlsx
2019,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,380,0.0514,0.5373,0.7065,0.8245,0.8250,0.5626,270 of 380,sources/state-dese/dese-ch70-district-profile.xlsx
2020,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",368,1619.8750,2587.6147,4498.4749,6836.4780,17171.5551,4558.2053,180 of 368,sources/state-dese/dese-ch70-district-profile.xlsx
2020,circuit breaker net claim per eligible student,"FISCAL year, not school year",278,1889.5000,28221.7500,36464.8873,46654.4344,201021.0000,49126.8462,62 of 278,sources/state-dese/dese-circuit-breaker.xlsx
2020,net school spending as a share of required,stage: actual,361,-0.1200,1.1063,1.3034,1.5392,5643.0538,1.2411,211 of 361,sources/state-dese/dese-ch70-district-profile.xlsx
2020,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,368,0.0516,0.5327,0.7086,0.8170,0.8251,0.5670,256 of 368,sources/state-dese/dese-ch70-district-profile.xlsx
2021,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",374,1653.0000,2593.9229,4575.6714,6941.0759,17537.2622,4559.4944,191 of 374,sources/state-dese/dese-ch70-district-profile.xlsx
2021,circuit breaker net claim per eligible student,"FISCAL year, not school year",276,3731.7500,30872.4389,39707.1647,48716.2414,125036.5000,71789.4444,13 of 276,sources/state-dese/dese-circuit-breaker.xlsx
2021,net school spending as a share of required,stage: actual,358,0.0089,1.1199,1.2971,1.5648,50.0351,1.2423,201 of 358,sources/state-dese/dese-ch70-district-profile.xlsx
2021,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,374,0.0527,0.5356,0.7208,0.8250,0.8250,0.5752,262 of 374,sources/state-dese/dese-ch70-district-profile.xlsx
2022,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",375,1584.2000,2688.8030,4792.1176,7343.9613,18228.3392,4724.4070,189 of 375,sources/state-dese/dese-ch70-district-profile.xlsx
2022,circuit breaker net claim per eligible student,"FISCAL year, not school year",277,4236.0000,32869.6000,43171.0500,54660.0217,205443.0000,98932.0000,4 of 277,sources/state-dese/dese-circuit-breaker.xlsx
2022,net school spending as a share of required,stage: actual,361,0.1659,1.1149,1.2948,1.5944,53.7349,1.2769,191 of 361,sources/state-dese/dese-ch70-district-profile.xlsx
2022,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,375,0.0514,0.5459,0.7540,0.8250,0.8250,0.5926,263 of 375,sources/state-dese/dese-ch70-district-profile.xlsx
2023,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",372,1676.2000,3066.5527,5065.2253,7793.4843,19464.0474,5219.7654,175 of 372,sources/state-dese/dese-ch70-district-profile.xlsx
2023,circuit breaker net claim per eligible student,"FISCAL year, not school year",276,4092.0000,40350.9598,52293.8442,66246.0360,324740.0000,92388.1667,11 of 276,sources/state-dese/dese-circuit-breaker.xlsx
2023,net school spending as a share of required,stage: actual,361,-0.0170,1.1060,1.2747,1.5653,409.5521,1.2103,219 of 361,sources/state-dese/dese-ch70-district-profile.xlsx
2023,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,372,0.0513,0.5224,0.7181,0.8002,0.8251,0.5651,261 of 372,sources/state-dese/dese-ch70-district-profile.xlsx
2024,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",374,1727.2500,3210.1745,5453.3444,8248.8943,20973.0826,5460.7604,187 of 374,sources/state-dese/dese-ch70-district-profile.xlsx
2024,circuit breaker net claim per eligible student,"FISCAL year, not school year",277,690.0000,47040.7059,61414.6049,74274.3182,332059.0000,81201.0000,40 of 277,sources/state-dese/dese-circuit-breaker.xlsx
2024,net school spending as a share of required,stage: actual,362,0.4660,1.0952,1.2821,1.5721,40.1511,1.1598,238 of 362,sources/state-dese/dese-ch70-district-profile.xlsx
2024,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,374,0.0491,0.5086,0.7068,0.7918,0.8250,0.5765,246 of 374,sources/state-dese/dese-ch70-district-profile.xlsx
2025,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",373,1974.0000,3352.4003,5726.6667,8516.6364,21524.4961,5504.5683,191 of 373,sources/state-dese/dese-ch70-district-profile.xlsx
2025,circuit breaker net claim per eligible student,"FISCAL year, not school year",277,1076.0000,57674.4472,71884.8687,88378.0556,384441.0000,81393.4444,97 of 277,sources/state-dese/dese-circuit-breaker.xlsx
2025,net school spending as a share of required,stage: budgeted,339,0.3391,1.1056,1.2961,1.5791,22495.8532,1.1777,217 of 339,sources/state-dese/dese-ch70-district-profile.xlsx
2025,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,373,0.0504,0.5218,0.7207,0.8070,0.8250,0.5844,250 of 373,sources/state-dese/dese-ch70-district-profile.xlsx
2026,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",374,2076.4571,3548.0093,5814.3940,8906.1167,22525.7728,5757.5858,191 of 374,sources/state-dese/dese-ch70-district-profile.xlsx
2026,circuit breaker net claim per eligible student,"FISCAL year, not school year",277,7732.5000,64586.0714,82030.3000,95835.6538,414558.0000,87272.7778,114 of 277,sources/state-dese/dese-circuit-breaker.xlsx
2026,net school spending as a share of required,stage: budgeted,340,0.0107,1.1186,1.3119,1.5930,67.1601,1.2004,217 of 340,sources/state-dese/dese-ch70-district-profile.xlsx
2026,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,374,0.0489,0.5408,0.7412,0.8147,0.8250,0.6041,248 of 374,sources/state-dese/dese-ch70-district-profile.xlsx
