fy,lea,district,level,func_cat_code,func_cat_desc,func_code,func_desc,in_out_dist,gen_fund,grants_revolving,total,per_pupil,reconciles,doc_id
2011,00190000,Ayer,detail,LDRS,Instructional Leadership,2110,Curriculum Directors  (Supervisory),In-District,268601,0,268601,291,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,LDRS,Instructional Leadership,2210,School Leadership,In-District,449270,192162,641432,694,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,LDRS,Instructional Leadership,2250,Admin. Technology (School Level),In-District,7819,0,7819,8,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,category,LDRS,Instructional Leadership,LDRS,Instructional Leadership,,725689,192162,917851,993,yes,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,MATL,"Instructional Materials, Equipment and Technology",2410,"Textbooks, Related Software/Media/Matls",In-District,239056,0,239056,259,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,MATL,"Instructional Materials, Equipment and Technology",2415,Other Instructional Matls (Libraries),In-District,10573,6156,16729,18,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,MATL,"Instructional Materials, Equipment and Technology",2430,General Classroom Supplies,In-District,20667,20027,40694,44,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,MATL,"Instructional Materials, Equipment and Technology",2440,Other Instructional Services,In-District,0,9627,9627,10,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,MATL,"Instructional Materials, Equipment and Technology",2451,Classroom Instructional Technology,In-District,17816,0,17816,19,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,category,MATL,"Instructional Materials, Equipment and Technology",MATL,"Instructional Materials, Equipment and Technology",,288112,35810,323921,351,yes,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,category,ODTR,Out-of-district Transportation,ODTR,Out-of-district Transportation,,252294,0,252294,0,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,rollup,OODD,Out-of-district Expenditure,OODD,Out-of-district Expenditure,,2964271,329203,3293473,0,yes,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,OPMN,Operations and Maintenance,4110,Custodial Services,In-District,406790,46483,453273,491,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,OPMN,Operations and Maintenance,4120,Heating of Buildings,In-District,153004,17500,170504,185,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,OPMN,Operations and Maintenance,4130,Utility Services,In-District,242637,17500,260137,282,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,OPMN,Operations and Maintenance,4210,Maintenance of Grounds,In-District,53843,0,53843,58,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,OPMN,Operations and Maintenance,4220,Maintenance of Buildings,In-District,157691,0,157691,171,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,OPMN,Operations and Maintenance,4230,Maintenance of Equipment,In-District,8681,0,8681,9,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,OPMN,Operations and Maintenance,4300,Extraordinary Maintenance,In-District,1045,0,1045,1,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,category,OPMN,Operations and Maintenance,OPMN,Operations and Maintenance,,1023690,81483,1105173,1196,yes,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,PDEV,Professional Development,2357,"Prof. Dev. Stipends, Providers, Expenses",In-District,56966,73589,130555,141,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,category,PDEV,Professional Development,PDEV,Professional Development,,56966,73589,130555,141,yes,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,SERV,Pupil Services,3100,Attendance and Parent Liaison Services,In-District,6850,69968,76818,83,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,SERV,Pupil Services,3200,Medical/Health Services,In-District,134589,5419,140008,152,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,SERV,Pupil Services,3300,Transportation Services,In-District,68666,61332,129999,141,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,SERV,Pupil Services,3400,Food Services,In-District,0,331237,331237,358,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,SERV,Pupil Services,3510,Athletics,In-District,107139,61141,168280,182,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,SERV,Pupil Services,3520,Other Student Activities,In-District,35421,738,36159,39,,sources/state-dese/district-expenditures-by-function.xlsx
