role_raw,grade_or_dept,rows,role_category,role_grade,classified_by
Teacher,K6,2,teacher,K,teacher-title
Teacher,PRESCHOOL,2,teacher,PK,teacher-title
Teacher,Pre-School:,2,teacher,PK,teacher-title
Teacher,Preschool,2,teacher,PK,teacher-title
Teacher,TLC,2,teacher,,teacher-title
Teacher/110,TLC,2,teacher,,teacher-title
Teachers,School Council,2,unknown,,no-rule-matched
Teaching Assist.,PRESCHOOL,2,paraprofessional,PK,aide-title
Teaching Asst.,KINDERGARTEN,2,paraprofessional,K,aide-title
Tech,Specials,2,unknown,,no-rule-matched
Technician (part-time),Technology/Network Services,2,technology,,heading-technology
Title 1 Coordinator/ Literacy Specialist,Other Staff,2,administrator,,director
Turkey Hill Elementary School Café Manager,Cafeteria Services,2,cafeteria,,heading-cafeteria
Tutor,MITSS,2,paraprofessional,,tutor-title
Tutors,,2,paraprofessional,,tutor-title
Tutors,GRADE 2,2,paraprofessional,2,tutor-title
Wilson Reading,Learning Center/Special Education,2,specialist,,heading-special-services
café,Cafeteria,2,cafeteria,,heading-cafeteria
,Achieve: High School,1,specialist,,heading-special-services
,Art/Library:,1,teacher,,heading-department
,Athletic Trainer,1,unknown,,no-rule-matched
,CFCE Grant Program,1,unknown,,no-rule-matched
,Grade level Paraprofessionals,1,paraprofessional,,heading-paras
,ILC (formally Transitions):,1,unknown,,no-rule-matched
,MTSS,1,unknown,,no-rule-matched
,Music:,1,teacher,,heading-department
,Paras,1,paraprofessional,,heading-paras
,Physical Education/Health:,1,teacher,,heading-department
,Physical Reduction/Health,1,teacher,,heading-department
,SEL,1,unknown,,no-rule-matched
,Unified Arts: High School,1,teacher,,heading-department
,Unified Arts:High School,1,teacher,,heading-department
'ecretary,,1,unknown,,no-rule-matched
(10-12) A-L,Guidance: High School,1,counselor,,heading-guidance
(10-12) DH,Guidance: High School,1,administrator,,director
(6-8) Dean,Guidance: Middle School,1,counselor,,heading-guidance
(Art),Specials,1,unknown,,no-rule-matched
(BCBA),Guidance,1,specialist,,interventionist
(Behaviorist),,1,unknown,,no-rule-matched
(Interventionist),Social Workers & Interventionist:,1,specialist,,interventionist
(LHS Social Worker),Social Workers & Interventionist:,1,social_worker,,social-worker
(LMS Social Worker),,1,social_worker,,social-worker
(LMS Social Worker),Social Workers & Interventionist:,1,social_worker,,social-worker
(Middle & High LPN),Health Office:,1,teacher,,heading-department
(Music),Specials,1,unknown,,no-rule-matched
(Music) DH,Unified Arts: High School,1,administrator,,director
(Music) DH,Unified Arts:High School,1,administrator,,director
(OT),Special Ed. Middle School:,1,therapist,,ot-pt
(PT),Special Ed. Middle School:,1,therapist,,ot-pt
(Psychologist,Guidance,1,psychologist,,psychologist
(Psychologist),,1,psychologist,,psychologist
(Psychologist),Guidance:High School,1,psychologist,,psychologist
(School Adjustment Counselor) Grade 6,Guidance: Middle School,1,counselor,6,counselor
(Speech),,1,speech_therapist,,speech
(Speech),Guidance,1,speech_therapist,,speech
(Speech),Guidance:High School,1,speech_therapist,,speech
(TLC) Theraputic Learning Center,Special Ed. High School:,1,unknown,,no-rule-matched
(Tech),Specials,1,unknown,,no-rule-matched
(Therapy Dog),Library:,1,unknown,,no-rule-matched
*,Foreign Language,1,teacher,,heading-department
*,Guidance,1,counselor,,heading-guidance
