row,section,function_group,line_item,kind,fy23_actual,fy24_actual,fy25_actual,fy25_budget,fy26_final,fy26_actual_td,fy26_encumb_td,fy27_restoration,fy27_core,fy27_level_service,fy27_balanced,forecast_outyear,restoration_2_24_26,comments
120,EXPENSES,2420 - E.S. Instr.l Equipment,E.S. Science Supplies (includes STEM),line,714.36,5205.93,745.0,1000.0,5484.0,3624.07,15.09,5893.0,5893.0,5893.0,5893.0,6496.0,5893.0,
121,EXPENSES,2420 - E.S. Instr.l Equipment,PHYSICAL ED SUPPLIES,line,964.08,1458.94,299.72,300.0,,527.08,0.0,200.0,200.0,200.0,200.0,,200.0,
122,EXPENSES,2420 - E.S. Instr.l Equipment,BAND/MUSIC SUPPLIES,line,859.4,1652.71,1526.24,4991.0,,,,,,,,,,
123,EXPENSES,2420 - M.S. Instr.Equipment,2420 - M.S. Instr.Equipment,line,,,,,,,,,,,,7642.48,,
124,EXPENSES,2420 - M.S. Instr.Equipment,M.S. Science Supplies,line,2121.05,2425.55,1569.02,2000.0,1521.0,817.04,331.96,1704.0,1704.0,1704.0,1704.0,1908.48,1704.0,
125,EXPENSES,2420 - M.S. Instr.Equipment,M.S. Tech Ed Supplies,line,,,371.8,400.0,239.0,199.65,35.35,400.0,400.0,400.0,400.0,448.0,400.0,
126,EXPENSES,2420 - M.S. Instr.Equipment,PHYSICAL ED SUPPLIES,line,1649.99,2214.49,1998.92,2000.0,,,,200.0,200.0,200.0,200.0,,200.0,
127,EXPENSES,2420 - M.S. Instr.Equipment,M.S. Band/Music Supplies,line,3528.01,3238.96,3962.26,4000.0,1300.0,426.47,872.53,4495.0,4495.0,4495.0,4495.0,5286.0,4495.0,
128,EXPENSES,2420 - H.S. Instr. Equipment,2420 - H.S. Instr. Equipment,line,,,,,,,,,,,,20612.4,,
129,EXPENSES,2420 - H.S. Instr. Equipment,H.S. Science Supplies,line,11651.63,15587.49,14513.93,14697.0,15985.0,7814.75,3609.66,17120.0,17120.0,17120.0,17120.0,19174.4,17120.0,
130,EXPENSES,2420 - H.S. Instr. Equipment,H.S. Technology/Industrial Arts Supplies,line,,681.89,1960.4,2000.0,2875.0,2678.35,35.17,0.0,0.0,0.0,0.0,0.0,0.0,
131,EXPENSES,2420 - H.S. Instr. Equipment,PHYSICAL ED SUPPLIES,line,6919.76,7585.37,4176.87,3000.0,,,,5000.0,5000.0,5000.0,5000.0,,5000.0,
132,EXPENSES,2420 - H.S. Instr. Equipment,H.S. Band/Music Dues and Fees,line,,749.0,1185.0,2500.0,1438.0,425.0,400.0,1300.0,1300.0,1300.0,1300.0,1438.0,1300.0,
133,EXPENSES,2420 - H.S. Instr. Equipment,BAND/MUSIC SUPPLIES,line,986.65,646.95,4925.89,5000.0,,,,2000.0,2000.0,2000.0,2000.0,,2000.0,
134,EXPENSES,2420 - H.S. Instr. Equipment,MUSIC MARCHING BAND,line,4735.26,4587.26,2065.94,2070.0,,0.0,4.06,748.0,748.0,748.0,748.0,,748.0,
135,EXPENSES,2420 - H.S. Instr. Equipment,MUSIC EQUIPMENT,line,,,2997.27,3000.0,,,,5230.0,5230.0,5230.0,5230.0,,5230.0,
136,EXPENSES,2430 - General School Supplies,2430 - General School Supplies,line,,,,,,,,,,,,61795.86,,
137,EXPENSES,2430 - General School Supplies,P.S. General School Supplies,line,23348.98,17475.57,14758.24,17239.0,14152.18,8703.39,2872.14,15001.0,15001.0,15001.0,15001.0,16713.9,15001.0,
138,EXPENSES,2430 - General School Supplies,E.S. General School Supplies,line,8505.84,11711.24,6427.99,12798.0,11034.0,8740.82,2310.29,11696.0,11696.0,11696.0,11696.0,18945.0,11696.0,
139,EXPENSES,2430 - General School Supplies,M.S. General School Supplies,line,6068.01,7475.99,6373.63,8200.0,6439.0,4215.03,3.2,6825.0,6825.0,6825.0,6825.0,7644.0,6825.0,
140,EXPENSES,2430 - General School Supplies,H.S. General School Supplies,line,11835.61,12268.36,12473.72,16000.0,11281.0,5875.61,3612.98,11958.0,11958.0,11958.0,11958.0,13392.96,11958.0,
141,EXPENSES,2430 - General School Supplies,Spcl Ed General School Supplies,line,2269.67,131.25,281.98,3000.0,3000.0,0.0,0.0,5100.0,5100.0,5100.0,5100.0,5100.0,5100.0,
142,EXPENSES,2440 - Other Instr.Services,2440 - Other Instr.Services,line,,,,,,,,,,,,8500.0,,
143,EXPENSES,2440 - Other Instr.Services,M.S. Band/Music Transportation,line,3565.0,,,2000.0,1000.0,0.0,1000.0,2000.0,2000.0,2000.0,0.0,2000.0,2000.0,only budgeted in FY26 & FY27? Revitalization of Band
144,EXPENSES,2440 - Other Instr.Services,H.S. Band/Music Transportation,line,4000.0,4205.0,5205.0,6500.0,3000.0,0.0,2700.0,3000.0,3000.0,3000.0,0.0,6500.0,3000.0,
145,EXPENSES,2451 - Instructional Tech.,2451 - Instructional Tech.,line,,,,,,,,,,,,160864.5,,
146,EXPENSES,2451 - Instructional Tech.,P.S. Computer Contractual Services,line,2463.99,745.0,14110.0,13900.0,28252.0,21303.73,0.0,28252.0,28252.0,28252.0,28252.0,52582.0,28252.0,significant increase in FY26 & FY27 compared to previous years
147,EXPENSES,2451 - Instructional Tech.,E.S. Computer Contractual Services,line,32752.1,4540.0,21572.8,19750.0,22775.0,24671.33,0.0,22775.0,22775.0,22775.0,22775.0,36751.0,22775.0,
148,EXPENSES,2451 - Instructional Tech.,M.S. Computer Contractual Services,line,18420.0,,5510.0,5510.0,2074.0,0.0,0.0,2074.0,2074.0,2074.0,2074.0,29700.0,2074.0,
149,EXPENSES,2451 - Instructional Tech.,H.S. Computer Contractual Services,line,12277.48,13249.38,16399.76,15025.0,17752.0,17751.97,0.0,25323.0,25323.0,25323.0,25323.0,27818.0,25323.0,"pretty consistent FY23-FY26, but significant increase in FY27"
150,EXPENSES,2451 - Instructional Tech.,P.S. Computer Supplies,line,2865.68,1014.84,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,
151,EXPENSES,2451 - Instructional Tech.,Computer Supplies/District Wide,line,8039.71,5128.8,3298.61,19900.0,10006.0,1798.68,2108.9,9500.0,9500.0,9500.0,9500.0,9737.5,9500.0,
152,EXPENSES,2451 - Instructional Tech.,Computer Contractual Services / District Wide,line,11592.0,107.5,,0.0,4276.0,0.0,0.0,0.0,0.0,0.0,0.0,4276.0,0.0,
153,EXPENSES,2710 - Guidance Exp.,2710 - Guidance Exp.,line,,,,,,,,,,,,22842.88,,
