board,board_id,date,kind,file_id,path,url,has_text
Agricultural Commission,2,2023-11-16,agenda,3943,agricultural-commission/2023-11-16-agenda-3943.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11162023-3943,Y
Agricultural Commission,2,2023-12-14,agenda,6124,agricultural-commission/2023-12-14-agenda-6124.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12142023-6124,Y
Agricultural Commission,2,2023-12-21,agenda,6148,agricultural-commission/2023-12-21-agenda-6148.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12212023-6148,Y
Agricultural Commission,2,2023-12-21,minutes,6148,agricultural-commission/2023-12-21-minutes-6148.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12212023-6148,Y
Agricultural Commission,2,2024-01-18,agenda,6361,agricultural-commission/2024-01-18-agenda-6361.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01182024-6361,Y
Agricultural Commission,2,2024-01-18,minutes,6361,agricultural-commission/2024-01-18-minutes-6361.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01182024-6361,Y
Agricultural Commission,2,2024-03-07,agenda,6420,agricultural-commission/2024-03-07-agenda-6420.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03072024-6420,Y
Agricultural Commission,2,2024-03-07,minutes,6420,agricultural-commission/2024-03-07-minutes-6420.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03072024-6420,Y
Agricultural Commission,2,2024-03-21,agenda,6485,agricultural-commission/2024-03-21-agenda-6485.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03212024-6485,Y
Agricultural Commission,2,2024-04-18,agenda,6530,agricultural-commission/2024-04-18-agenda-6530.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04182024-6530,Y
Agricultural Commission,2,2024-05-16,agenda,6576,agricultural-commission/2024-05-16-agenda-6576.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05162024-6576,Y
Agricultural Commission,2,2024-06-03,agenda,6592,agricultural-commission/2024-06-03-agenda-6592.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06032024-6592,Y
Agricultural Commission,2,2024-06-03,minutes,6592,agricultural-commission/2024-06-03-minutes-6592.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06032024-6592,Y
