kind,sy,org_code,org_name,org_type,stu_grp,subj_cat,subj,test_takers_cnt,tests_taken_cnt,one_test_cnt,two_test_cnt,three_test_cnt,four_test_cnt,five_plus_test_cnt,tests_taken,score_1,score_2,score_3,score_4,score_5,pct_1_2,pct_3_5
participation,2025,01620000,Lunenburg,District,High Needs,Arts,Studio Art: 2-D Design,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,High Needs,Math and Computer Science,Computer Sci A,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,High Needs,Math and Computer Science,Statistics,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,High Needs,English Language Arts,English Lang/Comp,4,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,High Needs,English Language Arts,English Language Arts,6,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Low Income,Math and Computer Science,Math and Computer Science,3,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Low Income,Arts,Arts,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Low Income,Arts,Drawing,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Low Income,Math and Computer Science,Statistics,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Low Income,Arts,2-D Art and Design,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Low Income,Arts,Studio Art: 2-D Design,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Low Income,Math and Computer Science,Computer Sci A,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Low Income,Math and Computer Science,Calculus AB,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Low Income,History and Social Science,Govt RAD: U.S.,4,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Low Income,History and Social Science,History and Social Science,6,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Low Income,History and Social Science,History: U.S.,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Low Income,English Language Arts,English Lit/Comp,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Low Income,English Language Arts,English Lang/Comp,4,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Low Income,Arts,Studio Art: Drawing,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Low Income,History and Social Science,Govt & Pol: U.S.,4,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Low Income,English Language Arts,English Language Arts,6,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Students with Disabilities,Arts,Studio Art: 2-D Design,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Students with Disabilities,History and Social Science,Govt RAD: U.S.,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Students with Disabilities,Arts,Arts,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Students with Disabilities,History and Social Science,History and Social Science,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Students with Disabilities,Arts,2-D Art and Design,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Students with Disabilities,History and Social Science,Govt & Pol: U.S.,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Female,History and Social Science,Govt RAD: U.S.,13,13,13,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,Female,Science and Technology,Biology,4,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Female,Arts,2-D Art and Design,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Female,Arts,Studio Art: 2-D Design,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Female,History and Social Science,History: U.S.,12,12,12,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,Female,Science and Technology,Science and Technology,5,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Female,Arts,Arts,3,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Female,Science and Technology,Chemistry,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Female,English Language Arts,English Lang/Comp,24,24,24,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,Female,Arts,Drawing,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Female,Math and Computer Science,Math and Computer Science,9,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Female,History and Social Science,Psychology,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Female,Arts,Studio Art: Drawing,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Female,English Language Arts,English Lit/Comp,16,16,16,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,Female,History and Social Science,History and Social Science,25,27,23,2,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,Female,English Language Arts,English Language Arts,40,40,40,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,Female,History and Social Science,Govt & Pol: U.S.,13,13,13,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,Female,Math and Computer Science,Calculus AB,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Female,Math and Computer Science,Statistics,9,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,Math and Computer Science,Computer Sci A,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,English Language Arts,English Lang/Comp,12,12,12,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,History and Social Science,History: U.S.,13,13,13,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,Foreign Languages,French Lang,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,History and Social Science,Govt & Pol: U.S.,18,18,18,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,English Language Arts,English Language Arts,18,18,18,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,Science and Technology,Physics 1,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,Math and Computer Science,Math and Computer Science,9,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,History and Social Science,Human Geography,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,Science and Technology,Biology,3,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,Math and Computer Science,Calculus AB,4,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,Science and Technology,Science and Technology,4,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,Arts,Studio Art: 2-D Design,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,Arts,2-D Art and Design,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,History and Social Science,Govt RAD: U.S.,18,18,18,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,English Language Arts,English Lit/Comp,6,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,Science and Technology,Environmental Sci,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,Arts,Arts,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,History and Social Science,History and Social Science,31,32,30,1,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,Foreign Languages,Foreign Languages,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,Math and Computer Science,Statistics,4,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,All Subjects,All Subjects,89,154,47,25,12,4,1,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Black or African American,All Subjects,All Subjects,3,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Hispanic or Latino,All Subjects,All Subjects,6,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,"Multi-Race, Not Hispanic or Latino",All Subjects,All Subjects,2,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Native Hawaiian or Other Pacific Islander,All Subjects,All Subjects,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,White,All Subjects,All Subjects,77,139,37,24,11,4,1,,,,,,,,
participation,2025,01620505,Lunenburg High,School,High Needs,All Subjects,All Subjects,14,19,11,2,0,1,0,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Low Income,All Subjects,All Subjects,13,18,10,2,0,1,0,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Students with Disabilities,All Subjects,All Subjects,2,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Female,All Subjects,All Subjects,51,86,27,15,7,2,0,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Male,All Subjects,All Subjects,38,68,20,10,5,2,1,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,Math and Computer Science,Calculus AB,6,,,,,,,,,,,,,,
