dor_code,municipality,fy,starting_balance,revenues,expenditures,fund_balance,flag,source_file,sha256
004,Adams,2025,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2026,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2003,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2004,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2005,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2006,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2007,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2008,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2009,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2010,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2011,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2012,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2013,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2014,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2015,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2016,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2017,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2018,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2019,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2020,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2021,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2022,,13717826,13595192,122634,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2023,122634,15153988,15788484,-1326716,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2024,-1326716,16580235,14384589,1262752,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2025,1262752,15957674,15890073,1639557,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
005,Agawam,2026,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2003,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2004,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2005,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2006,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2007,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2008,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2009,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2010,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2011,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2012,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2013,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2014,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2015,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2016,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2017,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2018,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2019,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2020,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2021,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2022,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2023,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2024,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2025,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
006,Alford,2026,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
007,Amesbury,2003,301668,51252,,352920,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
007,Amesbury,2004,352920,32134,38866,346188,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
007,Amesbury,2005,346188,42274,44289,344173,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
007,Amesbury,2006,344173,38236,74946,307463,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
007,Amesbury,2007,307463,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
007,Amesbury,2008,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
