role_as_printed,position,times_seen
TLC Para,Paraprofessional,4
TLC Teach,,1
TLC Teacher,Classroom Teacher,5
Teacher,Classroom Teacher,160
Teacher/110,Classroom Teacher,4
Teacher/111,Classroom Teacher,2
Teacher/113,Classroom Teacher,1
Teachers,Classroom Teacher,7
Teachers:,Classroom Teacher,8
Teaching Assist.,,2
Teaching Asst.,,3
Tech,,2
Tech MS,,1
Tech Support Specialist,,1
Tech. 119,,1
Technician,,4
Technician (part-time),,2
Technology,Specialist Teacher,2
Title 1 Coordinator/ Literacy Specialist,,2
Title One,,1
Title One Tutor,Paraprofessional,3
Turkey Hill Elementary School Café Manager,,2
Turkey Hill Middle School Cafe Manager,,1
Turkey Hill Middle School Café Manager,,1
Turnkey Hill Middle School Café Manager,,1
Tutor,Paraprofessional,31
Tutor/204,Paraprofessional,1
Tutor/208,Paraprofessional,3
Tutor/Room Former Lunchroom,Paraprofessional,1
Tutor/Room Tech Lab 119,Paraprofessional,1
Tutors,Paraprofessional,4
Tutors/Aides,Paraprofessional,17
Vember,,1
Vice-Chairperson,,5
White,,1
White,Classroom Teacher,42
Wilson Para,Paraprofessional,1
Wilson Reading,,3
"Wilson Reading, 204",,1
"Wilson Reading, 213",,1
Wilson Tutor,Paraprofessional,2
_eache,,1
b,,1
café,,2
ecretary,,1
i - Teach,,1
nurse,Nurse,1
para,Paraprofessional,18
para/substitute admin asst.,Paraprofessional,1
ra,,1
|Gr. 3 Para,Paraprofessional,1
"ВСвА, 110",,1
• Pa,,1
