fy,lea,district,org_code,org_name,org_level,subject,subject_level,pk_2_fte,grade_3_5_fte,grade_6_8_fte,grade_9_12_fte,multi_grade_fte,all_grade_fte,total_fte,printing,reconciles,agrees_with_teacher_subject,doc_id
2008,01250000,Harvard,01250000,Harvard,district,Core-All Subjects,group,11,14,0,0,1,0,26,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250000,Harvard,district,Economics,subject,0,0,0,0,0.7,0,0.7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250000,Harvard,district,English/Language Arts,subject,0,0,3,3.8,1.5,2,10.2,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250000,Harvard,district,Foreign Language,subject,0,0,0.4,0,6.6,0,7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250000,Harvard,district,Geography,subject,0,0,3,1,0,0,4,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250000,Harvard,district,History,subject,0,0,0,1.3,0.5,0,1.8,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250000,Harvard,district,Mathematics,subject,0,0,2.3,4.6,1.1,0,8,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250000,Harvard,district,Miscellaneous,subject,0,0,0,0,0,1,1,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250000,Harvard,district,"Physical, Health, and Safety Education",subject,0,0,0,0,2,1,3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250000,Harvard,district,"Public, Protective, and Government Service",subject,0,0,0,0,0.3,0,0.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250000,Harvard,district,Science,subject,0,0,3,4,0.7,0,7.7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250000,Harvard,district,Social Studies/Social Sciences,subject,0,0,0,0,1,0,1,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250000,Harvard,district,Special Education Services,subject,0,0,0,0,7,0,7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250005,Hildreth Elementary School,school,All,all,11,14,0,0,3,5,33,1,yes,yes,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250005,Hildreth Elementary School,school,Arts,subject,0,0,0,0,0,2,2,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250005,Hildreth Elementary School,school,Core-All Subjects,group,11,14,0,0,1,0,26,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250005,Hildreth Elementary School,school,English/Language Arts,subject,0,0,0,0,0,2,2,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250005,Hildreth Elementary School,school,"Physical, Health, and Safety Education",subject,0,0,0,0,0,1,1,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
