fy,lea,district,level,eligible_students_claimed,total_eligible_expenses,threshold_amount,net_eligible_instruction_tuition,net_eligible_transport,total_net_claim,reimb_instruction_tuition,reimb_special_circumstance_tuition,reimb_transport,reimb_special_circumstance_transport,prior_year_adjustment,total_quarterly_payment,extra_relief_payment,additional_supplemental_payment,comments,reconciles,doc_id
2015,00000000,State,state,9985,734493306,409214560,325278746,,325278746,231019053,11228647,,,-135689,242112321,2915267,310,,,sources/state-dese/dese-circuit-breaker.xlsx
2015,01250000,Harvard,district,23,2012568,931680,1080888,,1080888,795114,,,,-955,794159,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2015,01620000,Lunenburg,district,28,2070408,1159424,910984,,910984,663168,9466,,,,672634,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2015,06100000,Ashburnham-Westminster,district,13,934142,517600,416542,,416542,306413,,,,,306413,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2015,06160000,Ayer Shirley School District,district,28,2070268,1138720,931548,,931548,685257,,,,,685257,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2015,06730000,Groton-Dunstable,district,39,2737977,1594208,1143769,,1143769,841370,,,,,841370,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2015,07350000,North Middlesex,district,46,2968363,1904768,1063595,,1063595,782394,,,,,782394,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2016,00000000,State,state,10079,756958887,418496260,338462627,,338462627,242583375,15018166,,,-320815,257421322,3646362,53634,,,sources/state-dese/dese-circuit-breaker.xlsx
2016,01250000,Harvard,district,21,1351375,838880,512495,,512495,384371,,,,,384371,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2016,01620000,Lunenburg,district,23,2010177,964712,1045465,,1045465,784099,,,,,784099,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2016,06100000,Ashburnham-Westminster,district,17,1193884,692076,501808,,501808,376356,,,,,376356,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2016,06160000,Ayer Shirley School District,district,33,2395395,1300264,1095131,,1095131,801677,26229,,,,827906,8993,,,,sources/state-dese/dese-circuit-breaker.xlsx
2016,06730000,Groton-Dunstable,district,34,2686064,1405124,1280940,,1280940,960705,,,,,960705,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2016,07350000,North Middlesex,district,55,3643389,2285948,1357441,,1357441,1004449,18176,,,,1022625,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2017,00000000,State,state,10270,790404960,435897000,354507960,,354507960,247284798,16487034,,,-910343,262909026,4605128,47537,,,sources/state-dese/dese-circuit-breaker.xlsx
2017,01250000,Harvard,district,20,1367891,813960,553931,,553931,397109,11111,,,,408220,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2017,01620000,Lunenburg,district,20,1550970,856800,694170,,694170,507832,,,,,507832,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2017,06100000,Ashburnham-Westminster,district,14,866847,556920,309927,,309927,216472,14024,,,,230496,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2017,06160000,Ayer Shirley School District,district,39,2889458,1606500,1282958,,1282958,911651,36795,,,-1190,947256,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2017,06730000,Groton-Dunstable,district,38,2894545,1606500,1288045,,1288045,942291,,,,,942291,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2017,07350000,North Middlesex,district,59,3969685,2506140,1463545,,1463545,1069873,1104,,,,1070977,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2018,00000000,State,state,10442,827398148,444234499,383163649,,383163649,263323309,17921277,,,-740246,280504340,3830532,,,,sources/state-dese/dese-circuit-breaker.xlsx
2018,01250000,Harvard,district,20,1352624,818786,533838,,533838,384873,,,,,384873,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2018,01620000,Lunenburg,district,14,1112072,603316,508756,,508756,366790,,,,,366790,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2018,06100000,Ashburnham-Westminster,district,13,891093,538675,352418,,352418,243399,14811,,,,258210,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2018,06160000,Ayer Shirley School District,district,37,2863370,1508290,1355080,,1355080,976951,,,,,976951,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2018,06730000,Groton-Dunstable,district,37,2879057,1572931,1306126,,1306126,930789,15077,,,,945866,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2018,07350000,North Middlesex,district,54,4050917,2327076,1723841,,1723841,1242812,,,,,1242812,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2019,00000000,State,state,10550,863689662,459827103,403862559,,403862559,287536407,20480724,,,-532740,305485820,4636903,1998540,,,sources/state-dese/dese-circuit-breaker.xlsx
2019,01250000,Harvard,district,16,1269515,705696,563819,,563819,420573,3055,,,,420705,,2923,Supplemental payment increased instruction/tuition reimbursement to 75%.,,sources/state-dese/dese-circuit-breaker.xlsx
2019,01620000,Lunenburg,district,12,1107905,529272,578633,,578633,433975,,,,,430958,,3017,Supplemental payment increased instruction/tuition reimbursement to 75%.,,sources/state-dese/dese-circuit-breaker.xlsx
2019,06100000,Ashburnham-Westminster,district,14,978772,595431,383341,,383341,287506,,,,,285508,,1998,Supplemental payment increased instruction/tuition reimbursement to 75%.,,sources/state-dese/dese-circuit-breaker.xlsx
2019,06160000,Ayer Shirley School District,district,29,2257476,1257021,1000455,,1000455,750341,,,,,745126,,5215,Supplemental payment increased instruction/tuition reimbursement to 75%.,,sources/state-dese/dese-circuit-breaker.xlsx
2019,06730000,Groton-Dunstable,district,36,2930393,1565763,1364630,,1364630,1023473,,,,,1016359,,7114,Supplemental payment increased instruction/tuition reimbursement to 75%.,,sources/state-dese/dese-circuit-breaker.xlsx
2019,07350000,North Middlesex,district,43,3396202,1896558,1499644,,1499644,1124733,,,,,1116916,,7817,Supplemental payment increased instruction/tuition reimbursement to 75%.,,sources/state-dese/dese-circuit-breaker.xlsx
2020,00000000,State,state,10642,895224363,481434192,413790171,,413790171,295822227,19361136,,,-303091,314881041,5000000,769,,,sources/state-dese/dese-circuit-breaker.xlsx
2020,01250000,Harvard,district,18,1357548,801360,556188,,556188,417143,,,,,417143,79160,,,,sources/state-dese/dese-circuit-breaker.xlsx
