board,board_slug,year,listed,held,with_text_file,searchable,unsearchable,image_scan,vector_outlines,blank,extract_failed,unreadable,not_fetched
North Central Climate Change Coalition,north-central-climate-change-coalition,2024,2,2,2,2,0,0,0,0,0,0,0
North Central Climate Change Coalition,north-central-climate-change-coalition,2025,4,4,4,4,0,0,0,0,0,0,0
Open Space Committee,open-space-committee,2011,2,2,2,2,0,0,0,0,0,0,0
Open Space Committee,open-space-committee,2012,8,8,8,7,1,1,0,0,0,0,0
Open Space Committee,open-space-committee,2013,20,20,20,15,5,5,0,0,0,0,0
Open Space Committee,open-space-committee,2014,22,22,22,20,2,2,0,0,0,0,0
Open Space Committee,open-space-committee,2015,4,4,4,3,1,1,0,0,0,0,0
Open Space Committee,open-space-committee,2016,2,2,2,2,0,0,0,0,0,0,0
Open Space Committee,open-space-committee,2017,1,1,1,1,0,0,0,0,0,0,0
Open Space Committee,open-space-committee,2018,24,24,24,16,8,8,0,0,0,0,0
Open Space Committee,open-space-committee,2019,11,11,11,11,0,0,0,0,0,0,0
Open Space Committee,open-space-committee,2020,9,9,9,8,1,1,0,0,0,0,0
Open Space Committee,open-space-committee,2021,13,13,13,11,2,2,0,0,0,0,0
Open Space Committee,open-space-committee,2022,11,11,11,11,0,0,0,0,0,0,0
Open Space Committee,open-space-committee,2023,13,13,13,13,0,0,0,0,0,0,0
Open Space Committee,open-space-committee,2024,17,17,17,17,0,0,0,0,0,0,0
Open Space Committee,open-space-committee,2025,16,16,16,16,0,0,0,0,0,0,0
Open Space Committee,open-space-committee,2026,9,9,9,9,0,0,0,0,0,0,0
Parks Commission,parks-commission,2010,2,2,2,0,2,2,0,0,0,0,0
Parks Commission,parks-commission,2011,7,7,7,2,5,5,0,0,0,0,0
Parks Commission,parks-commission,2012,5,5,5,3,2,2,0,0,0,0,0
Parks Commission,parks-commission,2014,21,21,21,8,13,13,0,0,0,0,0
Parks Commission,parks-commission,2015,13,13,13,8,5,5,0,0,0,0,0
Parks Commission,parks-commission,2016,21,21,21,10,11,11,0,0,0,0,0
Parks Commission,parks-commission,2017,26,26,26,13,13,13,0,0,0,0,0
Parks Commission,parks-commission,2018,30,30,30,16,14,14,0,0,0,0,0
Parks Commission,parks-commission,2019,20,20,20,19,1,1,0,0,0,0,0
Parks Commission,parks-commission,2020,19,19,19,19,0,0,0,0,0,0,0
Parks Commission,parks-commission,2021,35,35,35,35,0,0,0,0,0,0,0
Parks Commission,parks-commission,2022,31,31,31,30,1,1,0,0,0,0,0
Parks Commission,parks-commission,2023,27,27,27,22,5,5,0,0,0,0,0
Parks Commission,parks-commission,2024,35,35,35,35,0,0,0,0,0,0,0
Parks Commission,parks-commission,2025,20,20,20,20,0,0,0,0,0,0,0
Parks Commission,parks-commission,2026,16,16,16,16,0,0,0,0,0,0,0
Personnel Committee,personnel-committee,2009,12,12,12,10,2,2,0,0,0,0,0
Personnel Committee,personnel-committee,2010,22,22,22,18,4,4,0,0,0,0,0
Personnel Committee,personnel-committee,2011,20,20,20,11,9,9,0,0,0,0,0
Personnel Committee,personnel-committee,2012,17,17,17,10,7,7,0,0,0,0,0
Personnel Committee,personnel-committee,2013,11,11,11,4,7,7,0,0,0,0,0
Personnel Committee,personnel-committee,2014,2,2,2,0,2,2,0,0,0,0,0
Personnel Committee,personnel-committee,2015,18,18,18,17,1,1,0,0,0,0,0
Personnel Committee,personnel-committee,2016,16,16,16,12,4,4,0,0,0,0,0
Personnel Committee,personnel-committee,2017,9,9,9,1,8,8,0,0,0,0,0
Personnel Committee,personnel-committee,2018,13,13,13,5,8,8,0,0,0,0,0
Personnel Committee,personnel-committee,2019,16,16,16,10,6,6,0,0,0,0,0
Personnel Committee,personnel-committee,2020,17,17,17,16,1,1,0,0,0,0,0
Personnel Committee,personnel-committee,2021,18,18,18,18,0,0,0,0,0,0,0
Personnel Committee,personnel-committee,2022,44,44,44,44,0,0,0,0,0,0,0
Personnel Committee,personnel-committee,2023,51,51,51,45,6,6,0,0,0,0,0
Personnel Committee,personnel-committee,2024,20,20,20,20,0,0,0,0,0,0,0
Personnel Committee,personnel-committee,2026,5,5,5,5,0,0,0,0,0,0,0
Planning Board,planning-board,2009,49,49,49,49,0,0,0,0,0,0,0
Planning Board,planning-board,2010,47,47,47,40,7,7,0,0,0,0,0
Planning Board,planning-board,2011,81,81,81,70,11,10,0,1,0,0,0
Planning Board,planning-board,2012,68,68,68,66,2,2,0,0,0,0,0
Planning Board,planning-board,2013,85,85,85,82,3,3,0,0,0,0,0
Planning Board,planning-board,2014,113,113,113,104,9,9,0,0,0,0,0
Planning Board,planning-board,2015,85,85,85,83,2,2,0,0,0,0,0
Planning Board,planning-board,2016,91,91,91,87,4,4,0,0,0,0,0
Planning Board,planning-board,2017,107,107,107,54,53,53,0,0,0,0,0
Planning Board,planning-board,2018,74,74,74,47,27,26,0,1,0,0,0
Planning Board,planning-board,2019,89,89,89,87,2,2,0,0,0,0,0
Planning Board,planning-board,2020,66,66,66,64,2,2,0,0,0,0,0
Planning Board,planning-board,2021,114,114,114,113,1,1,0,0,0,0,0
Planning Board,planning-board,2022,102,102,102,102,0,0,0,0,0,0,0
Planning Board,planning-board,2023,60,60,60,56,4,4,0,0,0,0,0
Planning Board,planning-board,2024,38,38,38,38,0,0,0,0,0,0,0
Planning Board,planning-board,2025,52,52,52,49,3,3,0,0,0,0,0
Planning Board,planning-board,2026,31,31,31,31,0,0,0,0,0,0,0
Planning Board Public Hearing,planning-board-public-hearing,2023,3,3,3,3,0,0,0,0,0,0,0
Planning Board Public Hearing,planning-board-public-hearing,2024,16,16,16,15,1,1,0,0,0,0,0
Planning Board Public Hearing,planning-board-public-hearing,2025,20,20,20,20,0,0,0,0,0,0,0
Planning Board Public Hearing,planning-board-public-hearing,2026,24,24,24,23,1,1,0,0,0,0,0
Public Access Cable Committee (PACC),public-access-cable-committee-pacc,2010,14,14,14,5,9,9,0,0,0,0,0
Public Access Cable Committee (PACC),public-access-cable-committee-pacc,2011,26,26,26,3,23,23,0,0,0,0,0
Public Access Cable Committee (PACC),public-access-cable-committee-pacc,2012,24,24,24,0,24,24,0,0,0,0,0
Public Access Cable Committee (PACC),public-access-cable-committee-pacc,2013,31,31,31,0,31,31,0,0,0,0,0
Public Access Cable Committee (PACC),public-access-cable-committee-pacc,2014,3,3,3,0,3,3,0,0,0,0,0
Public Access Cable Committee (PACC),public-access-cable-committee-pacc,2015,26,26,26,19,7,7,0,0,0,0,0
Public Access Cable Committee (PACC),public-access-cable-committee-pacc,2016,32,32,32,28,4,4,0,0,0,0,0
Public Access Cable Committee (PACC),public-access-cable-committee-pacc,2017,23,23,23,13,10,10,0,0,0,0,0
Public Access Cable Committee (PACC),public-access-cable-committee-pacc,2018,16,16,16,7,9,9,0,0,0,0,0
Public Access Cable Committee (PACC),public-access-cable-committee-pacc,2019,24,24,24,21,3,3,0,0,0,0,0
Public Access Cable Committee (PACC),public-access-cable-committee-pacc,2020,14,14,14,13,1,1,0,0,0,0,0
Public Access Cable Committee (PACC),public-access-cable-committee-pacc,2021,23,23,23,22,1,1,0,0,0,0,0
Public Access Cable Committee (PACC),public-access-cable-committee-pacc,2022,24,24,24,24,0,0,0,0,0,0,0
Public Access Cable Committee (PACC),public-access-cable-committee-pacc,2023,22,22,22,21,1,1,0,0,0,0,0
Public Access Cable Committee (PACC),public-access-cable-committee-pacc,2024,23,23,23,23,0,0,0,0,0,0,0
Public Access Cable Committee (PACC),public-access-cable-committee-pacc,2025,27,27,27,27,0,0,0,0,0,0,0
Public Access Cable Committee (PACC),public-access-cable-committee-pacc,2026,17,17,17,17,0,0,0,0,0,0,0
School Advisory Councils & Committees,school-advisory-councils-committees,2011,4,4,4,4,0,0,0,0,0,0,0
School Advisory Councils & Committees,school-advisory-councils-committees,2012,6,6,6,6,0,0,0,0,0,0,0
School Advisory Councils & Committees,school-advisory-councils-committees,2013,8,8,8,7,1,1,0,0,0,0,0
School Advisory Councils & Committees,school-advisory-councils-committees,2014,36,36,36,29,7,7,0,0,0,0,0
School Advisory Councils & Committees,school-advisory-councils-committees,2015,18,18,18,15,3,3,0,0,0,0,0
School Advisory Councils & Committees,school-advisory-councils-committees,2016,15,15,15,14,1,1,0,0,0,0,0
School Advisory Councils & Committees,school-advisory-councils-committees,2017,19,19,19,9,10,10,0,0,0,0,0
School Advisory Councils & Committees,school-advisory-councils-committees,2018,17,17,17,12,5,5,0,0,0,0,0
School Advisory Councils & Committees,school-advisory-councils-committees,2019,37,37,37,33,4,4,0,0,0,0,0
School Advisory Councils & Committees,school-advisory-councils-committees,2020,19,19,19,19,0,0,0,0,0,0,0
School Advisory Councils & Committees,school-advisory-councils-committees,2021,36,36,36,35,1,1,0,0,0,0,0
School Advisory Councils & Committees,school-advisory-councils-committees,2022,29,29,29,29,0,0,0,0,0,0,0
School Advisory Councils & Committees,school-advisory-councils-committees,2023,27,27,27,27,0,0,0,0,0,0,0
School Advisory Councils & Committees,school-advisory-councils-committees,2024,22,22,22,22,0,0,0,0,0,0,0
School Advisory Councils & Committees,school-advisory-councils-committees,2025,28,28,28,28,0,0,0,0,0,0,0
School Advisory Councils & Committees,school-advisory-councils-committees,2026,11,11,11,11,0,0,0,0,0,0,0
School Building Committee Meeting,school-building-committee-meeting,2012,37,37,37,23,14,14,0,0,0,0,0
School Building Committee Meeting,school-building-committee-meeting,2013,33,33,33,20,13,13,0,0,0,0,0
School Building Committee Meeting,school-building-committee-meeting,2014,37,37,37,19,18,18,0,0,0,0,0
School Building Committee Meeting,school-building-committee-meeting,2015,24,24,24,11,13,13,0,0,0,0,0
School Building Committee Meeting,school-building-committee-meeting,2016,17,17,17,12,5,5,0,0,0,0,0
School Building Committee Meeting,school-building-committee-meeting,2017,3,3,3,2,1,1,0,0,0,0,0
School Building Committee Meeting,school-building-committee-meeting,2018,3,3,3,1,2,2,0,0,0,0,0
School Building Committee Meeting,school-building-committee-meeting,2019,6,6,6,5,1,1,0,0,0,0,0
School Committee,school-committee,2021,6,6,6,6,0,0,0,0,0,0,0
School Committee,school-committee,2022,33,33,33,33,0,0,0,0,0,0,0
School Committee,school-committee,2023,58,58,58,57,1,0,0,1,0,0,0
School Committee,school-committee,2024,63,63,63,63,0,0,0,0,0,0,0
School Committee,school-committee,2025,80,80,80,80,0,0,0,0,0,0,0
School Committee,school-committee,2026,42,42,42,42,0,0,0,0,0,0,0
Select Board,select-board,2010,36,36,36,7,29,29,0,0,0,0,0
Select Board,select-board,2011,69,69,69,27,42,42,0,0,0,0,0
Select Board,select-board,2012,82,82,82,38,44,44,0,0,0,0,0
Select Board,select-board,2013,80,80,80,38,42,42,0,0,0,0,0
Select Board,select-board,2014,69,69,69,35,34,34,0,0,0,0,0
Select Board,select-board,2015,69,69,69,34,35,35,0,0,0,0,0
Select Board,select-board,2016,126,78,78,16,62,61,0,1,0,0,48
Select Board,select-board,2017,107,107,107,30,77,77,0,0,0,0,0
Select Board,select-board,2018,99,99,99,36,63,63,0,0,0,0,0
Select Board,select-board,2019,95,95,95,52,43,43,0,0,0,0,0
Select Board,select-board,2020,89,89,89,47,42,42,0,0,0,0,0
Select Board,select-board,2021,89,89,89,49,40,40,0,0,0,0,0
Select Board,select-board,2022,75,75,75,40,35,35,0,0,0,0,0
Select Board,select-board,2023,84,84,84,43,41,41,0,0,0,0,0
Select Board,select-board,2024,79,79,79,79,0,0,0,0,0,0,0
Select Board,select-board,2025,86,86,86,86,0,0,0,0,0,0,0
Select Board,select-board,2026,62,62,62,62,0,0,0,0,0,0,0
Select Board Public Hearing,select-board-public-hearing,2024,6,6,6,6,0,0,0,0,0,0,0
Select Board Public Hearing,select-board-public-hearing,2025,7,7,7,7,0,0,0,0,0,0,0
Select Board Public Hearing,select-board-public-hearing,2026,7,7,7,7,0,0,0,0,0,0,0
Senior Citizens Tax Work Off Committee,senior-citizens-tax-work-off-committee,2011,6,6,6,3,3,3,0,0,0,0,0
Senior Citizens Tax Work Off Committee,senior-citizens-tax-work-off-committee,2012,4,4,4,1,3,3,0,0,0,0,0
Senior Citizens Tax Work Off Committee,senior-citizens-tax-work-off-committee,2013,6,6,6,3,3,3,0,0,0,0,0
Senior Citizens Tax Work Off Committee,senior-citizens-tax-work-off-committee,2014,6,6,6,3,3,3,0,0,0,0,0
Senior Citizens Tax Work Off Committee,senior-citizens-tax-work-off-committee,2015,16,16,16,5,11,11,0,0,0,0,0
Senior Citizens Tax Work Off Committee,senior-citizens-tax-work-off-committee,2016,13,13,13,7,6,6,0,0,0,0,0
Senior Citizens Tax Work Off Committee,senior-citizens-tax-work-off-committee,2017,9,9,9,4,5,5,0,0,0,0,0
Senior Citizens Tax Work Off Committee,senior-citizens-tax-work-off-committee,2018,3,3,3,3,0,0,0,0,0,0,0
Sewer Commission,sewer-commission,2010,33,33,33,19,14,14,0,0,0,0,0
Sewer Commission,sewer-commission,2011,28,28,28,21,7,7,0,0,0,0,0
Sewer Commission,sewer-commission,2012,32,32,32,22,10,10,0,0,0,0,0
Sewer Commission,sewer-commission,2013,32,32,32,28,4,4,0,0,0,0,0
Sewer Commission,sewer-commission,2014,47,47,47,34,13,13,0,0,0,0,0
Sewer Commission,sewer-commission,2015,50,50,50,30,20,20,0,0,0,0,0
Sewer Commission,sewer-commission,2016,60,60,60,29,31,31,0,0,0,0,0
Sewer Commission,sewer-commission,2017,54,54,54,14,40,40,0,0,0,0,0
Sewer Commission,sewer-commission,2018,53,53,53,23,30,30,0,0,0,0,0
Sewer Commission,sewer-commission,2019,51,51,51,30,21,21,0,0,0,0,0
Sewer Commission,sewer-commission,2020,49,49,49,27,22,22,0,0,0,0,0
Sewer Commission,sewer-commission,2021,44,44,44,26,18,18,0,0,0,0,0
Sewer Commission,sewer-commission,2022,44,44,44,23,21,21,0,0,0,0,0
Sewer Commission,sewer-commission,2023,41,41,41,37,4,4,0,0,0,0,0
Sewer Commission,sewer-commission,2024,43,43,43,42,1,0,0,1,0,0,0
Sewer Commission,sewer-commission,2025,49,49,49,49,0,0,0,0,0,0,0
Sewer Commission,sewer-commission,2026,34,34,34,34,0,0,0,0,0,0,0
Stormwater Task Force,stormwater-task-force,2016,37,37,37,29,8,8,0,0,0,0,0
Stormwater Task Force,stormwater-task-force,2017,27,27,27,12,15,14,0,1,0,0,0
Stormwater Task Force,stormwater-task-force,2018,24,24,24,6,18,18,0,0,0,0,0
Stormwater Task Force,stormwater-task-force,2019,29,29,29,2,27,27,0,0,0,0,0
Stormwater Task Force,stormwater-task-force,2020,2,2,2,0,2,2,0,0,0,0,0
Stormwater Task Force,stormwater-task-force,2021,6,6,6,6,0,0,0,0,0,0,0
Stormwater Task Force,stormwater-task-force,2022,13,13,13,13,0,0,0,0,0,0,0
Stormwater Task Force,stormwater-task-force,2023,8,8,8,8,0,0,0,0,0,0,0
Stormwater Task Force,stormwater-task-force,2024,14,14,14,14,0,0,0,0,0,0,0
Stormwater Task Force,stormwater-task-force,2025,14,14,14,14,0,0,0,0,0,0,0
Stormwater Task Force,stormwater-task-force,2026,18,18,18,18,0,0,0,0,0,0,0
Town Manager Screening Committee,town-manager-screening-committee,2016,9,9,9,9,0,0,0,0,0,0,0
Town Manager Screening Committee,town-manager-screening-committee,2024,17,17,17,11,6,6,0,0,0,0,0
Trust Fund Commission,trust-fund-commission,2014,1,1,1,1,0,0,0,0,0,0,0
Trust Fund Commission,trust-fund-commission,2017,1,1,1,0,1,1,0,0,0,0,0
Trust Fund Commission,trust-fund-commission,2019,11,11,11,10,1,1,0,0,0,0,0
Trust Fund Commission,trust-fund-commission,2025,19,19,19,19,0,0,0,0,0,0,0
Trust Fund Commission,trust-fund-commission,2026,21,21,21,21,0,0,0,0,0,0,0
Zoning Board of Appeals,zoning-board-of-appeals,2010,9,9,9,9,0,0,0,0,0,0,0
Zoning Board of Appeals,zoning-board-of-appeals,2011,21,21,21,15,6,6,0,0,0,0,0
Zoning Board of Appeals,zoning-board-of-appeals,2012,22,22,22,21,1,1,0,0,0,0,0
Zoning Board of Appeals,zoning-board-of-appeals,2013,39,39,39,32,7,7,0,0,0,0,0
Zoning Board of Appeals,zoning-board-of-appeals,2014,38,38,38,32,6,6,0,0,0,0,0
Zoning Board of Appeals,zoning-board-of-appeals,2015,31,31,31,22,9,9,0,0,0,0,0
Zoning Board of Appeals,zoning-board-of-appeals,2016,20,20,20,11,9,9,0,0,0,0,0
Zoning Board of Appeals,zoning-board-of-appeals,2017,25,25,25,8,17,17,0,0,0,0,0
Zoning Board of Appeals,zoning-board-of-appeals,2018,12,12,12,4,8,8,0,0,0,0,0
Zoning Board of Appeals,zoning-board-of-appeals,2019,20,20,20,20,0,0,0,0,0,0,0
Zoning Board of Appeals,zoning-board-of-appeals,2021,14,14,14,14,0,0,0,0,0,0,0
Zoning Board of Appeals,zoning-board-of-appeals,2022,19,19,19,18,1,1,0,0,0,0,0
Zoning Board of Appeals,zoning-board-of-appeals,2023,28,28,28,28,0,0,0,0,0,0,0
Zoning Board of Appeals,zoning-board-of-appeals,2024,23,23,23,23,0,0,0,0,0,0,0
Zoning Board of Appeals,zoning-board-of-appeals,2025,16,16,16,16,0,0,0,0,0,0,0
Zoning Board of Appeals,zoning-board-of-appeals,2026,18,18,18,18,0,0,0,0,0,0,0
