fy,edition,page_printed,page_pdf,statement,ordinal,total_row,amount,pct,precision,quote,document
2024,FY2024,63,63,prose,1,PRIOR YEAR REVENUE STATED,203773.00,,dollars,"The overall revenue received for FY24 from Comcast was $192,954 a decrease from the previous year's $ 203,773 (5.3% reduction).",sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf
2025,FY2025,61,65,line_item_expenses,1,Total,178140.97,100.00,cents,"$178,140.97",sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf
2025,FY2025,60,64,revenue_vs_expenses,1,Revenue (from Comcast),180792.00,,dollars,"$180,792",sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf
2025,FY2025,60,64,revenue_vs_expenses,2,Enterprise Fund Interest,46343.00,,dollars,"$ 46,343",sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf
2025,FY2025,60,64,revenue_vs_expenses,3,Investment Interest,35430.00,,dollars,"$ 35,430",sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf
2025,FY2025,60,64,revenue_vs_expenses,4,Subtotal,262565.00,,dollars,"$262,565",sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf
2025,FY2025,60,64,revenue_vs_expenses,5,Expenses,178140.00,,dollars,"$178,140",sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf
2025,FY2025,60,64,revenue_vs_expenses,6,Beginning Balance,208772.00,,dollars,"$208,772",sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf
2025,FY2025,60,64,revenue_vs_expenses,7,Ending Balance,30632.00,,dollars,"$ 30,632",sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf
2025,FY2025,60,64,prose,1,PRIOR YEAR REVENUE STATED,192954.00,,dollars,"The overall revenue received for FY25 from Comcast was $180,792 a decrease from the previous year's $ 192,954 (6.3% reduction).",sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf
