doc_id,fy,period,fund,fund_name,funds_covered,account_type,level,dept,org,object,account,function,name,original,transfers,revised,expended,encumbered,available,pct_used,totals_only,suppress_zero,rounded_columns
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,531005,,,LEGAL EXPE,4000.0,0.0,4000.0,0.0,0.0,4000.0,0.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,531006,,,PURCH SERV,90200.0,-37500.0,52700.0,15856.68,11799.32,25044.0,52.5,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,531007,,,REC REGIST,210.0,0.0,210.0,0.0,0.0,210.0,0.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,531059,,,P/SIIREMED,10000.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,531060,,,P/SOUTSOUR,150155.0,-30000.0,120155.0,78940.32,22262.68,18952.0,84.2,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,531061,,,ENG SERV,30000.0,73130.0,103130.0,57587.87,35542.13,10000.0,90.3,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,534400,,,POSTAGE,2500.0,0.0,2500.0,0.0,0.0,2500.0,0.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,534500,,,ADVERTISIN,300.0,0.0,300.0,90.0,135.0,75.0,75.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,540000,,,OFF SUPPLI,1000.0,0.0,1000.0,894.34,101.43,4.23,99.6,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,541012,,,FUEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,541018,,,SUPPLIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,570001,,,HEALTH INS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,570013,,,TR STAB FD,25783.0,0.0,25783.0,25782.55,0.0,0.0,100.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,570014,,,TRANS GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,570021,,,OPEB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
