town,year,line,amount,role,source_file,source_ref
Littleton,2021,Net Change in Adjustment to Free Cash,55811.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A15
Littleton,2021,Other Adjustments,0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A16
Littleton,2021,"Identified Free Cash July 1,",10406530.00,identified_total,dls/free-cash-proof-littleton.xlsx,Sheet1!A17
Littleton,2022,Free Cash Certified Prior Year,9428814.00,prior_year_certified,dls/free-cash-proof-littleton.xlsx,Sheet1!A4
Littleton,2022,Current Year Calculation,9458083.00,certified,dls/free-cash-proof-littleton.xlsx,Sheet1!A5
Littleton,2022,Revenue Deficits,0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A6
Littleton,2022,Excess/Shortfall Local Receipts (CL#6),2478602.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A7
Littleton,2022,Add Actual Revenue Received but not Estimated (CL#7),0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A8
Littleton,2022,Excess/Shortfall Cherry Sheet Receipts (CL#8),-17173.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A9
Littleton,2022,Add Unencumbered/Unexpended Appropriations (CL#11),1932783.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A10
Littleton,2022,Subtract Negative Free Cash Certified July 1 Prior Year,0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A11
Littleton,2022,Add Prior Year Free Cash Not Appropriated (CL#12),3793261.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A12
Littleton,2022,Add Overlay Surplus Closed (CL#13),0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A13
Littleton,2022,Prior & Current Year Outstanding Receivables Total,-16558.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A14
Littleton,2022,Net Change in Adjustment to Free Cash,7173.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A15
Littleton,2022,Other Adjustments,212059.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A16
Littleton,2022,"Identified Free Cash July 1,",8390147.00,identified_total,dls/free-cash-proof-littleton.xlsx,Sheet1!A17
Littleton,2023,Free Cash Certified Prior Year,9458083.00,prior_year_certified,dls/free-cash-proof-littleton.xlsx,Sheet1!A4
Littleton,2023,Current Year Calculation,10108103.00,certified,dls/free-cash-proof-littleton.xlsx,Sheet1!A5
Littleton,2023,Revenue Deficits,0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A6
Littleton,2023,Excess/Shortfall Local Receipts (CL#6),2308792.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A7
Littleton,2023,Add Actual Revenue Received but not Estimated (CL#7),0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A8
Littleton,2023,Excess/Shortfall Cherry Sheet Receipts (CL#8),-134231.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A9
Littleton,2023,Add Unencumbered/Unexpended Appropriations (CL#11),2585926.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A10
