fy,held_as,amount,column,page,document
2023,Main Street Bank General Fund Investments,1905375.58,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Main Street Bank-PEG Access Enterprise,251706.63,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Main Street Bank-Sewer Enterprise,1572057.62,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Main Street Bank-Trash Enterprise,162259.09,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Main Street Bank-Vehicle/Equipment Stabilization,1936143.89,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Main Street Bank-Water Enterprise,67396.59,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Mass Municipal Depository Trust (MMDT) Arts Lottery,19121.07,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Mass Municipal Depository Trust (MMDT) General Fund Investment,218766.51,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Mass Municipal Depository Trust (MMDT) Highway Bond Issue,2999.59,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Mass Municipal Depository Trust (MMDT) Playground Fund,84.47,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Newburyport Bank General Fund Investment,2419444.25,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,TD BankNorth General Fund Investment,58127.7,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,TD BankNorth Zoning Stabilization,235681.11,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Unibank - Park Revolving Fund,96898.6,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Unibank ARPA CLFRF Fund,3558266.78,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Unibank GL Fund Investment,218071.41,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Unibank General Fund Investment,4281026.53,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Unibank Linde Sacksen Scholarship Fund,1524.11,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Unibank Sewer Capacity Reserve Stabilization,28144.5,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Unibank Sewer I/I Stabilization,9986.63,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2022,Bank Hometown Investment,527825.77,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Bartholomew - Health Insurance Stabilization,372940.88,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Bartholomew - OPEB,721386.75,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Bartholomew Stabilization Fund,2574673.21,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Bartholomew-Sewer Capital Reserve Stabilization,124232.42,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Batholomew Trust Funds,921549.47,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Eastern Bank Investment,205739.25,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Eastern Bank-School Activity Fees,201597.76,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Eastern Bank-Security Street,6620.34,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Enterprise Bank Investment,160519.35,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Fidelity Bank Investment,1658435.87,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Fidelity Bank-ARRA EECBG Grant,298.24,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Fidelity Bank-EOCD Grant,90788.71,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Fidelity Bank-Senior Grant,1690.25,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Fidelity Bank-Sewer Hook-Up,20.13,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Harbor One Bank Investment,2265874.38,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,MMDT Arts Lottery,21963.71,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,MMDT Highway Bond Issue,2882.84,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,MMDT Playground Fund,81.15,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Main Street Bank Investments,1047541.59,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Main Street Bank-PEG Access Enterprise,943407.77,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Main Street Bank-Sewer Enterprise,1504166.96,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Main Street Bank-Trash Enterprise,184304.34,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Main Street Bank-Vehicle/Equipment Stabilization,1457123.63,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Main Street Bank-Water Enterprise,65728.18,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Mass Municipal Depository Trust (MMDT) Investment,217505.53,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Newburyport Bank-Investment,2883961.03,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Petty Cash / Certain Departments,4200.0,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,TD BankNorth Investment,56975.07,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,TD BankNorth Zoning Stabilization,231007.68,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
