dor_code,municipality,fy,vote_date,result,yes_votes,no_votes,vote_type,department,description,amount,source_file,sha256
174,Maynard,1992,1991-05-06,LOSS,833,1731,Override,GENERAL OPERATING,Assess Addit. Money For Operating Expens,850000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
174,Maynard,1992,1991-05-06,LOSS,1170,1417,Override,GENERAL OPERATING,General Operating Expenses,350000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
174,Maynard,1992,1991-09-01,WIN,1724,1047,Override,GENERAL OPERATING,General Budget,257000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
174,Maynard,2003,2002-05-06,WIN,1341,1317,Override,PUBLIC WORKS & FACILITIES,Mosquito Control And Hazardous Waste Collection Day,20300,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
174,Maynard,2006,2005-06-27,WIN,1790,1681,Override,GENERAL OPERATING,Operating Budget Of Town Government,1026862,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
174,Maynard,2006,2005-06-27,LOSS,1161,2233,Override,GENERAL GOVERNMENT,General Government Operating Budget,1708974,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
174,Maynard,2026,2025-05-27,WIN,1051,398,Override,SCHOOL,Maynard Public Schools Budget,612000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
174,Maynard,2026,2025-05-27,WIN,1216,235,Override,GENERAL GOVERNMENT,Council On Aging Operating And Programming Budget,200000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
175,Medfield,1991,1990-05-01,WIN,2051,1354,Override,GENERAL OPERATING,General Operating Budget,579000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
175,Medfield,1995,1994-04-24,LOSS,681,1327,Override,SCHOOL,School Operations,250000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
175,Medfield,1996,1995-03-27,WIN,1629,1097,Override,SCHOOL,School Operations,350000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
175,Medfield,1999,1998-03-30,WIN,1858,1372,Override,SCHOOL,School Dept. Operating Budget,950000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
175,Medfield,2004,2003-06-09,WIN,1305,665,Override,GENERAL GOVERNMENT,General Operating Expenses,750000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
175,Medfield,2005,2004-06-07,WIN,1379,758,Override,GENERAL OPERATING,General Operating Expenses For Town And Schools,538000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
175,Medfield,2007,2006-06-05,WIN,1276,770,Override,SCHOOL,Operating Expenses Of Various School Departments,1000000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
175,Medfield,2008,2007-06-04,WIN,659,474,Override,GENERAL OPERATING,General Operating Expenditures,500000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
175,Medfield,2009,2008-06-02,WIN,1033,579,Override,GENERAL OPERATING,General Operating Expenses For The Various Town And School Departments,850000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
175,Medfield,2012,2011-05-23,WIN,1031,721,Override,GENERAL OPERATING,General Operating Expenses Of The Various School And Town Departments,500000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
175,Medfield,2019,2018-06-11,WIN,1822,1201,Override,GENERAL OPERATING,To Increase School And Town Operating Budgets,1663103,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
175,Medfield,2019,2018-06-20,WIN,2112,890,Override,HEALTH AND HUMAN SERVICE,To Provide Advanced Life Support,250000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
175,Medfield,2027,2026-06-08,WIN,1825,604,Override,GENERAL OPERATING,Funding Of Operating Budgets And Stabilization Fund,1500000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
176,Medford,2025,2024-11-05,WIN,15271,13472,Override,SCHOOL,Tax Override To Increase Funding For Medford Public Schools,3500000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
176,Medford,2025,2024-11-05,WIN,15081,13689,Override,SCHOOL,Tax Override To Benefit Medford Public Schools And City Roads,4000000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
177,Medway,2005,2004-05-03,WIN,2448,2104,Override,SCHOOL,Opening New High School And Expenses,1881203,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
178,Melrose,1991,1990-10-01,LOSS,3011,5175,Override,PUBLIC SAFETY,New Fire Engine,162000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
178,Melrose,1991,1990-10-01,LOSS,2880,5299,Override,CULTURE AND RECREATION,Textbooks And Library Books,160000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
178,Melrose,1991,1990-10-01,LOSS,2495,5656,Override,SCHOOL,"5 Teachers Aides,For Lang,Art,Music Teach",135000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
178,Melrose,1991,1990-10-01,LOSS,2259,5887,Override,PUBLIC WORKS & FACILITIES,"Dpw Repair Roads,Sidewalks,Tree Maint",350000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
178,Melrose,1991,1990-10-01,LOSS,1839,6300,Override,GENERAL GOVERNMENT,Asbestos Removal City Buildings,165750,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
178,Melrose,1993,1992-11-03,WIN,7748,7385,Override,GENERAL OPERATING,Funding Budget Of City And For Schools,3000000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
178,Melrose,2003,2003-06-03,LOSS,2813,6266,Override,PRE-PROPOSITION 2 1/2 DEBT,Override,5300000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
178,Melrose,2016,2015-11-03,LOSS,3023,5034,Override,PRE-PROPOSITION 2 1/2 DEBT,Override,2250000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
178,Melrose,2020,2019-04-02,WIN,6084,4875,Override,SCHOOL,General Operation Of School,5180000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
178,Melrose,2025,2024-06-18,LOSS,4296,5174,Override,GENERAL OPERATING,"Funding School,City, And Public Safety Personnel, Associated Benefits, And Services",7700000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
178,Melrose,2026,2025-11-04,WIN,6018,5052,Override,GENERAL OPERATING,Override,13500000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,1991,1990-05-01,LOSS,332,937,Override,GENERAL OPERATING,Operating Budget,288035,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,1992,1991-07-01,LOSS,350,794,Override,SCHOOL,Fund Regional School District Assessment,121000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,1992,1991-07-01,LOSS,335,810,Override,SCHOOL,Fund Regional School District Assessment,186278,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,1992,1991-07-01,LOSS,353,791,Override,SCHOOL,Fund Regional School District Assessment,65278,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,2001,2000-05-01,LOSS,388,529,Override,SCHOOL,Assess.Funding Of Mendon-Upton Reg.Sch.,461284,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,2001,2000-06-05,LOSS,584,649,Override,SCHOOL,Operating Assess.Mendon-Upton Reg.Sch.,186284,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,2003,2002-06-10,WIN,680,499,Override,SCHOOL,Funding Operating Budget Of Mendon Upton Regional School District,317193,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,2004,2003-06-10,WIN,467,434,Override,SCHOOL,Funding Operational Budget-Mendon-Upton Regional School District,244396,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,2007,2006-09-11,LOSS,610,647,Override,SCHOOL,Operational Budget Of Mendon-Upton Regional  School District,180769,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,2007,2006-06-12,LOSS,463,591,Override,SCHOOL,Operational Budget For Mendon-Upton Regional School District,421044,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,2008,2007-06-19,LOSS,621,681,Override,GENERAL OPERATING,General Operating Budget,160000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,2008,2007-06-19,WIN,665,646,Override,SCHOOL,Operational Budget Of The Mendon-Upton Regional School District,264219,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,2011,2010-07-27,LOSS,917,984,Override,SCHOOL,Funding Budget Of The Mendon-Upton Regional School,490272,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,2011,2010-05-18,LOSS,838,849,Override,GENERAL OPERATING,Funding Operational Budgets Of Town And Mendon-Upton Regional School District,594272,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,2012,2011-07-18,WIN,912,810,Override,SCHOOL,Funding Operational Budget For Mendon-Upton Regional School District,272450,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,2012,2011-05-17,LOSS,712,882,Override,GENERAL OPERATING,Fund Operational Budgets Of Town And School District,929979,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,2012,2011-07-18,LOSS,806,915,Override,GENERAL OPERATING,Funding Operational Budget For The Town,409646,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,2014,2013-05-14,LOSS,220,376,Override,GENERAL OPERATING,Funding Town Coordinators/Administrators Compensation And Benefits,110000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,2014,2013-05-14,LOSS,218,382,Override,GENERAL GOVERNMENT,Funding The Operational Budget To Pay For Mosquito Ctrl,38200,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,2016,2015-06-30,WIN,1112,893,Override,SCHOOL,Additional Funding For The Operational Budget Of The Mendon-Upton Regional School District,1133827,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,2016,2015-05-12,LOSS,606,719,Override,SCHOOL,Additional Funding For The Operational Budget Of The Mendon-Upton Regional School District,1133827,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,2021,2021-05-18,LOSS,480,591,Override,PUBLIC WORKS & FACILITIES,Funding Mendon Upton Rsd,803338,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,2021,2020-06-09,WIN,711,445,Override,PUBLIC WORKS & FACILITIES,Funding Mendon Upton Rsd,271820,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,2022,2021-06-29,LOSS,564,701,Override,SCHOOL,Add'Tl Funding Of Mendon-Upton School District,803338,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
179,Mendon,2027,2026-05-19,WIN,724,485,Override,SCHOOL,Operational Override For Mursd School District,1100000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,1990,1989-05-01,LOSS,397,577,Override,GENERAL OPERATING,Operating Costs For Departments,250000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,1991,1990-05-01,LOSS,578,638,Override,SCHOOL,Funding Secondary School Programs,257022,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,1991,1990-05-01,WIN,626,594,Override,SCHOOL,Funding Elem. School Programs,47422,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,1992,1991-05-13,LOSS,426,739,Override,SCHOOL,Funding Elementary School Programs,27980,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,1992,1991-05-13,LOSS,376,787,Override,SCHOOL,Funding School Programs,31315,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,1993,1992-05-11,LOSS,531,569,Override,SCHOOL,Funding Salaries For School Department,95979,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,2002,2001-07-30,WIN,297,289,Override,SCHOOL,Funding Pentucket Regional School District,167768,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,2003,2002-05-13,WIN,634,431,Override,SCHOOL,Funding Pentucket Regional School District Assessment,243818,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,2005,2004-05-10,WIN,725,646,Override,CULTURE AND RECREATION,Funding The Operations Of The New Town Of Merrimac Library,35034,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,2005,2004-05-10,LOSS,609,765,Override,SCHOOL,Pentucket Regional School Distric Supplemental Assessment,560285,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,2005,2004-05-10,LOSS,654,709,Override,PUBLIC SAFETY,Vacant Police Officer Position,48000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,2006,2005-05-09,LOSS,423,922,Override,CULTURE AND RECREATION,"Funding Feasibility Studies, Including Site Reviews For Athletic Field",50000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,2006,2005-05-09,WIN,755,635,Override,SCHOOL,Funding Of Pentucket Regional School District,484500,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,2008,2007-05-07,WIN,683,337,Override,GENERAL GOVERNMENT,Emt Firefighter Salary And Health Insurance,47000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,2008,2007-05-07,WIN,533,480,Override,GENERAL GOVERNMENT,Coa Nutrition Program Salary And Health Insurance,30700,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,2009,2008-05-05,WIN,301,189,Override,PUBLIC SAFETY,Additional Funding For The On Call Firefighter/Emt Stipend,50000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,2010,2009-05-04,WIN,404,392,Override,SCHOOL,Merrimac'S Share Of The Assessments From The Pentucket Regional School District And Whittier Regional Vocational High School,315000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,2012,2011-05-02,LOSS,343,446,Override,GENERAL OPERATING,Town Of Merrimac'S Share Of The Assessment From Pentucket District,326800,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,2017,2016-05-02,WIN,203,143,Override,SCHOOL,Funding A Portion Of The Town Of Merrimac’S Share Of The Assessment From The Pentucket Regional School District,100000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,2024,2023-05-01,WIN,827,768,Override,SCHOOL,"Funding A Portion Of The Town Of Merrimac'S Share Of The Assessments From The Pentucket Regional School District For Fiscal Year Beginning July 1, 2023",860000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,2026,2025-05-05,LOSS,368,665,Override,PUBLIC SAFETY,"Assess An Additional $141,000 For Wages And All Costs Related To A New Patrolman",141000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
180,Merrimac,2026,2025-05-05,LOSS,382,651,Override,PUBLIC SAFETY,"Assess An Additional $484,000 For (4) New Firefighters/Emts",484000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
182,Middleborough,1991,1990-06-01,LOSS,1343,2705,Override,SCHOOL,School Department Budget,950000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
183,Middlefield,1991,1990-05-01,WIN,59,46,Override,SCHOOL,Fund Education Expenses,70000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
183,Middlefield,1992,1991-05-01,WIN,55,50,Override,GENERAL OPERATING,"Education, Insurance, Road Materials",35000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,1990,1989-05-01,LOSS,349,745,Override,PUBLIC SAFETY,Operating Budget Of Police Department,85000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,1990,1989-05-01,LOSS,293,812,Override,SCHOOL,Operating Budget Of School Department,100000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,1991,1990-05-01,LOSS,205,469,Override,PUBLIC SAFETY,Fund Police Operating Budget,85000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,1991,1990-05-01,LOSS,198,475,Override,SCHOOL,Fund School Department Budget,87200,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,1991,1990-03-01,LOSS,239,383,Override,SCHOOL,Fund Masc. Reg. Sch. Dist. Assessmt,51178,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,1992,1991-05-01,LOSS,397,414,Override,SCHOOL,Fund Regional School District Budget,32886,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,1998,1997-05-19,LOSS,534,549,Override,SCHOOL,"Install And Equip Computers,Printers,Etc",60919,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,1998,1997-07-22,WIN,441,254,Override,SCHOOL,Hire Teachers For Elem. And High School,45750,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,1998,1997-05-19,LOSS,452,638,Override,SCHOOL,Teacher Salaries,45750,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,1998,1997-07-22,WIN,417,277,Override,SCHOOL,Partial Funding For Regional School,14486,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,1998,1997-05-19,LOSS,464,618,Override,SCHOOL,Funding Asses. For Masonet Reg. School,56632,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,2000,1999-05-17,WIN,644,322,Override,SCHOOL,Fund Portion Of School Budget,225000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,2002,2001-05-14,WIN,569,434,Override,GENERAL GOVERNMENT,Mosquito Control,35000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,2002,2001-05-14,WIN,505,431,Override,GENERAL OPERATING,General Operating Expenses,344993,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,2005,2004-05-17,LOSS,299,454,Override,SCHOOL,Funding Portion Of Masconomet Regional School District,60000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,2005,2004-05-17,LOSS,377,382,Override,GENERAL OPERATING,Math Specialist-Police Officer-Paramedic -Dispatcher,150000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,2016,2015-05-18,LOSS,604,746,Override,SCHOOL,Partially Funding The Essex North Shore Agricultural And Technical School District,118682,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,2016,2015-05-18,LOSS,666,683,Override,SCHOOL,Partially Funding The Masconomet Regional School District,287939,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,2016,2015-05-18,LOSS,667,688,Override,SCHOOL,Partially Funding The Middleton Elementary School Budget,284333,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,2017,2016-05-16,WIN,784,401,Override,GENERAL GOVERNMENT,Funding Omnibus Budget,690000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,2025,2024-05-21,LOSS,527,682,Override,GENERAL OPERATING,Operating Budget,1796500,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,2026,2025-05-20,WIN,1014,650,Override,SCHOOL,Masconomet Regional Operating Budget Override,467194,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,2026,2025-05-20,WIN,1002,659,Override,PUBLIC SAFETY,Public Safety Override,975000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
184,Middleton,2026,2025-05-20,WIN,1043,622,Override,SCHOOL,Elementary School Operating Budget Override,537276,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
185,Milford,1992,1991-09-01,LOSS,1141,3174,Override,GENERAL OPERATING,Super Tuesday Vote/Resolution Aid Recover,650000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
187,Millis,1990,1989-05-01,LOSS,745,1036,Override,GENERAL OPERATING,Multiple,350000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
187,Millis,1992,1991-05-06,LOSS,373,1232,Override,PUBLIC WORKS & FACILITIES,Funding Public Works General Acct,43047,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
