dataset,edition,report_fy,document,page,copy,plan_fiscal_year,line_no,project,cost,cumulative,printed_total,columns_as_printed,status,reconciliation
capital_plan,FY2017,2017,4124-fy-2017-annual-town-report.pdf,90,committee report,2018,7,PD16-10 1 Tasers (8),10500.0,352317.0,633317.0,"Total $ 633,317",checked,"no column sums to the printed 633,317.00; the running CUMULATIVE column does end there, over 10 rows, so each cost is read as the step between two cumulatives"
capital_plan,FY2017,2017,4124-fy-2017-annual-town-report.pdf,90,committee report,2018,8,PD16-13 1 Police Vehicles (2) cars,111000.0,463317.0,633317.0,"Total $ 633,317",checked,"no column sums to the printed 633,317.00; the running CUMULATIVE column does end there, over 10 rows, so each cost is read as the step between two cumulatives"
capital_plan,FY2017,2017,4124-fy-2017-annual-town-report.pdf,90,committee report,2018,9,LPS16-19 Turkey Hill Asbestos,145000.0,608317.0,633317.0,"Total $ 633,317",checked,"no column sums to the printed 633,317.00; the running CUMULATIVE column does end there, over 10 rows, so each cost is read as the step between two cumulatives"
capital_plan,FY2017,2017,4124-fy-2017-annual-town-report.pdf,90,committee report,2018,10,Police Fingerprint System,25000.0,633317.0,633317.0,"Total $ 633,317",checked,"no column sums to the printed 633,317.00; the running CUMULATIVE column does end there, over 10 rows, so each cost is read as the step between two cumulatives"
capital_plan,FY2018,2018,4125-fy-2018-annual-town-report.pdf,104,committee report,2019,1,"PD17-02 Police Vehicles, 2",112000.0,112000.0,520214.0,Total,checked,"no column sums to the printed 520,214.00; the running CUMULATIVE column does end there, over 11 rows, so each cost is read as the step between two cumulatives"
capital_plan,FY2018,2018,4125-fy-2018-annual-town-report.pdf,104,committee report,2019,2,PD17-11 Protective Gear,20000.0,132000.0,520214.0,Total,checked,"no column sums to the printed 520,214.00; the running CUMULATIVE column does end there, over 11 rows, so each cost is read as the step between two cumulatives"
capital_plan,FY2018,2018,4125-fy-2018-annual-town-report.pdf,104,committee report,2019,3,PD16-09 Duty Gear,11600.0,143600.0,520214.0,Total,checked,"no column sums to the printed 520,214.00; the running CUMULATIVE column does end there, over 11 rows, so each cost is read as the step between two cumulatives"
capital_plan,FY2018,2018,4125-fy-2018-annual-town-report.pdf,104,committee report,2019,4,PD16-16 ATV,18000.0,161600.0,520214.0,Total,checked,"no column sums to the printed 520,214.00; the running CUMULATIVE column does end there, over 11 rows, so each cost is read as the step between two cumulatives"
capital_plan,FY2018,2018,4125-fy-2018-annual-town-report.pdf,104,committee report,2019,5,PD18-01 Patrol Boat,15000.0,176600.0,520214.0,Total,checked,"no column sums to the printed 520,214.00; the running CUMULATIVE column does end there, over 11 rows, so each cost is read as the step between two cumulatives"
capital_plan,FY2018,2018,4125-fy-2018-annual-town-report.pdf,104,committee report,2019,6,LPS16-17 Phone System,30000.0,206600.0,520214.0,Total,checked,"no column sums to the printed 520,214.00; the running CUMULATIVE column does end there, over 11 rows, so each cost is read as the step between two cumulatives"
capital_plan,FY2018,2018,4125-fy-2018-annual-town-report.pdf,104,committee report,2019,7,LPS16-197 Asbestos,130000.0,336600.0,520214.0,Total,checked,"no column sums to the printed 520,214.00; the running CUMULATIVE column does end there, over 11 rows, so each cost is read as the step between two cumulatives"
capital_plan,FY2018,2018,4125-fy-2018-annual-town-report.pdf,104,committee report,2019,8,DPW17-05A Utility Pickup,45307.0,381907.0,520214.0,Total,checked,"no column sums to the printed 520,214.00; the running CUMULATIVE column does end there, over 11 rows, so each cost is read as the step between two cumulatives"
capital_plan,FY2018,2018,4125-fy-2018-annual-town-report.pdf,104,committee report,2019,9,FM17-08 DPW Roof,65000.0,446907.0,520214.0,Total,checked,"no column sums to the printed 520,214.00; the running CUMULATIVE column does end there, over 11 rows, so each cost is read as the step between two cumulatives"
capital_plan,FY2018,2018,4125-fy-2018-annual-town-report.pdf,104,committee report,2019,10,FM18-01 Demo Classroom,28000.0,474907.0,520214.0,Total,checked,"no column sums to the printed 520,214.00; the running CUMULATIVE column does end there, over 11 rows, so each cost is read as the step between two cumulatives"
capital_plan,FY2018,2018,4125-fy-2018-annual-town-report.pdf,104,committee report,2019,11,DPW17-05B Utility Pickup,45307.0,520214.0,520214.0,Total,checked,"no column sums to the printed 520,214.00; the running CUMULATIVE column does end there, over 11 rows, so each cost is read as the step between two cumulatives"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,107,committee report,2020,1,FD18-01 Fire Vital Sign Airway Monitors ]Equipment,15000.0,,1684100.0,"[Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,107,committee report,2020,2,"PD17-01-A Police [Police Vehicle, 1 marked Vehicle",68000.0,,1684100.0,"[Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
