fy,page,order,post,kind,section,stated_members,person,vacancies,term_expires,note,size_check
2025,14,113,ELECTION WORKERS,officer,appointed,,"Clerks: Kathleen Pliska (D) and Judy Haley (D),",0,,,no check
2025,14,114,ELECTION WORKERS,officer,appointed,,Inspectors: Sue Andrews (D) and Kathy Reinhardt (K);,0,,,no check
2025,14,115,ELECTION WORKERS,officer,appointed,,Deputy Inspectors: Joanne Bergeron (D) and Jane Ranley (R),0,,,no check
2025,15,116,FIRE CHIEF/ EMERGENCY MANAGEMENTDIRECTOR/ FOREST WARDEN,officer,appointed,,Patrick Sullivan,0,,,no check
2025,15,117,FIELD DRIVER,officer,appointed,,Kathleen M. Comeau,0,,,no check
2025,15,118,FINANCE COMMITTEE,board seat,appointed,7,Thomas Gray,0,2027,,checked
2025,15,119,FINANCE COMMITTEE,board seat,appointed,7,Chris Menard,0,2026,,checked
2025,15,120,FINANCE COMMITTEE,board seat,appointed,7,Jean Russell,0,2028,,checked
2025,15,121,FINANCE COMMITTEE,board seat,appointed,7,Jay Simeone,0,2026,,checked
2025,15,122,FINANCE COMMITTEE,board seat,appointed,7,Tanya Dall,0,2028,,checked
2025,15,123,FINANCE COMMITTEE,board seat,appointed,7,Mike Rupp,0,2027,,checked
2025,15,124,FINANCE COMMITTEE,board seat,appointed,7,Ana Lockwood,0,2027,,checked
2025,15,125,GREEN COMMUNITIES COMMITTEE,officer,appointed,,David Blatt,0,,term expires 2027,no check
2025,15,126,GREEN COMMUNITIES COMMITTEE,officer,appointed,,Dave Passions,0,,term expires 2026,no check
2025,15,127,GREEN COMMUNITIES COMMITTEE,officer,appointed,,Kim Duffy,0,,term expires 2027,no check
2025,15,128,GREEN COMMUNITIES COMMITTEE,officer,appointed,,Matt Snyder,0,,term expires 2028,no check
2025,15,129,GREEN COMMUNITIES COMMITTEE,officer,appointed,,,2,,2 Vacancies-terms expire 2026 and 2027,no check
2025,15,130,HAZARDOUS WASTE COORDINATOR,officer,appointed,,Jennifer Warren-Dyment,0,,,no check
2025,15,131,HEARINGS OFFICER,officer,appointed,,Jennifer Warren-Dyment,0,,,no check
2025,15,132,HISTORICAL COMMISSION (not less than 3 nor more than 7 members,board seat,appointed,"(3, 7)",Kevin Boussom,0,2026,,checked
2025,15,133,HISTORICAL COMMISSION (not less than 3 nor more than 7 members,board seat,appointed,"(3, 7)",C. William Lakso,0,2028,,checked
2025,15,134,HISTORICAL COMMISSION (not less than 3 nor more than 7 members,board seat,appointed,"(3, 7)",Richard McGrath,0,2027,,checked
2025,15,135,HISTORICAL COMMISSION (not less than 3 nor more than 7 members,board seat,appointed,"(3, 7)",Jennifer Sanderson,0,2026,,checked
2025,15,136,INSPECTOR OF PLUMBING/GAS,officer,appointed,,Gary Williams,0,,,no check
2025,15,137,ASST. INSPECTOR OF PLUMBING/GAS,officer,appointed,,Jeremy Pierce,0,,,no check
2025,15,138,INSPECTOR OF WEIGHTS & MEASURES,officer,appointed,,Michael Ryan,0,,,no check
2025,15,139,INSPECTOR OF WIRING,officer,appointed,,Baron Bowser,0,,,no check
2025,16,140,ASST. INSPECTOR OF WIRING,officer,appointed,,Jack Biery,0,,,no check
2025,16,141,LOCAL CENSUS LIAISON,officer,appointed,,"Kathyrn M. Herrick, Town Clerk",0,,,no check
2025,16,142,LUNENBURG MUNICIPAL BUILDING DESIGN COMMITTEE,officer,appointed,,Matthew Brenner-Planning Board,0,,,no check
2025,16,143,LUNENBURG MUNICIPAL BUILDING DESIGN COMMITTEE,officer,appointed,,David Blatt-Citizen at Large,0,,,no check
2025,16,144,LUNENBURG MUNICIPAL BUILDING DESIGN COMMITTEE,officer,appointed,,Brian Lehtinen-Select Board,0,,,no check
2025,16,145,LUNENBURG MUNICIPAL BUILDING DESIGN COMMITTEE,officer,appointed,,Laura Brzozoski-School Committee,0,,,no check
2025,16,146,LUNENBURG MUNICIPAL BUILDING DESIGN COMMITTEE,officer,appointed,,Kristina Masaitis-Citizen at Large,0,,,no check
2025,16,147,LUNENBURG MUNICIPAL BUILDING DESIGN COMMITTEE,officer,appointed,,Greg Roy-Citizen at Large,0,,,no check
