===SHEET Salaries===
,,FY25,FY26,%,,,,,,,,,,,,,,,,,,,,,,,FY23 Level,FY23 Step,FY23 Hourly Rate,,FY23 Degree Advancement,FY23 Annual Salary,FY23 Budgeted Salary,FY23 Budgeted Personnel Budget
,"DESCRIPTION, SALARIES",Budgeted,Proposed,increase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Nurses,70339,75412,0.0721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nurse Coordinator,3033,3154,0.0399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3510 - Athletics Salaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athletic Director,92455,94813,0.0255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athletic Trainer,63900,66200,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Special Detail/Athletic Events,5000,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athletic Coaches,0,168130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Unified Sports,Track/Basketball Coach",3925,3812,-0.0288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman & MS Coaches,0,14415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3520 - After School Advisor Salaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. After School Advisors,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S.  After School Advisors,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. After School Advisors,0,28273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4110 - Custodial Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Custodians,151566,92480,0.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Custodians Overtime,6500,6500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Custodians,99829,108377,-0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Custodians Overtime,6500,6500,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Custodians,134884,132659,-0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Custodians Overtime,6500,6500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Custodians,154007,156365,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Custodians Overtime,6500,6500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintenance/System Salaries,338466,266826,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintenance/System Overtime,13000,13000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintenance Clothing Allowance,6278,6278,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5500 - Crossing Guards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,District-wide Crossing Guards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salary Reserve,347338,133008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY25,FY26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL SALARIES:,17386842,16228519,-0.0666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL EXPENSES:,7700344,9334856,0.2123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL BUDGET:,25087186,25563376,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
===SHEET Expenses===
,,FY25,FY26,%,,,,,,,,,,,,,,,,,,,,,,,,,,,FY23 Level,FY23 Step,FY23 Hourly Rate,,FY23 Degree Advancement,FY23 Annual Salary,FY23 Budgeted Salary,FY23 Budgeted Personnel Budget
,"DESCRIPTION, EXPENSES",Budgeted,Proposed,increase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110 - School Committee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,School Committee Conferenc Exp,250,1000,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staff Orientation Expenses,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dues/Meetings,5971,6500,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Classified Ads,1000,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,School Committee Gen Supplies,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210 - Superintendent Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postage - System Wide,5000,5350,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dues/Meetings,5000,8000,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Supt. General Supplies,1000,1500,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410 - Business Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Business Office/Contracted Services,6000,7000,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Admin Contr'd Technology Support (TSA),1600,1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Business Office General Supplies,2500,2000,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430 - Legal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,School Committee Legal Expenses,28000,28000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450 - Info Management & Tech Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
