"sy","dist_code","dist_name","ind_cat","ind_subcat","ind_value","ind_value_type"
"2019","01620000","Lunenburg","Expenditures Per Pupil","Professional Development","76.0","Amount"
"2019","01620000","Lunenburg","Expenditures Per Pupil","Pupil Services","1212.0","Amount"
"2019","01620000","Lunenburg","Expenditures Per Pupil","Teachers","5205.0","Amount"
"2019","01620000","Lunenburg","Expenditures Per Pupil","Total Expenditures","13783.0","Amount"
"2019","01620000","Lunenburg","Expenditures Per Pupil","Total In-District Expenditures","13548.0","Amount"
"2018","01620000","Lunenburg","Student Enrollment","In-District FTE Pupils","1620.5","Count"
"2018","01620000","Lunenburg","Student Enrollment","Out-of-District FTE Pupils","143.4","Count"
"2018","01620000","Lunenburg","Student Enrollment","Total FTE Pupils","1763.9","Count"
"2018","01620000","Lunenburg","Student Demographics","English learner % Headcount","2.1","Percent"
"2018","01620000","Lunenburg","Student Demographics","Low-Income % Headcount","16.1","Percent"
"2018","01620000","Lunenburg","Student Demographics","Student Headcount","1641.0","Count"
"2018","01620000","Lunenburg","Student Demographics","Students with disabilities % Headcount","16.2","Percent"
"2018","01620000","Lunenburg","Teacher Salaries","Average Teacher Salary","74236.0","Amount"
"2018","01620000","Lunenburg","Teacher Salaries","Teacher FTE","115.1","Count"
"2018","01620000","Lunenburg","Teacher Salaries","Teachers per 100 FTE students","7.1","Count"
"2018","01620000","Lunenburg","Other Staff","Instructional Coach FTE","0.0","Count"
"2018","01620000","Lunenburg","Other Staff","Instructional Support FTE","6.9","Count"
"2018","01620000","Lunenburg","Other Staff","Paraprofessional FTE","51.0","Count"
"2018","01620000","Lunenburg","Other Staff","Special Education Instructional Support FTE","1.0","Count"
"2018","01620000","Lunenburg","MCAS Performance","ELA Grade 10 % Meets or Exceeds","98.1","Percent"
"2018","01620000","Lunenburg","MCAS Performance","ELA Grades 3-8 % Meets or Exceeds","50.4","Percent"
"2018","01620000","Lunenburg","MCAS Performance","Math Grade 10 % Meets or Exceeds","82.9","Percent"
"2018","01620000","Lunenburg","MCAS Performance","Math Grades 3-8 % Meets or Exceeds","53.2","Percent"
"2018","01620000","Lunenburg","Expenditures Per Pupil","Administration","599.0","Amount"
"2018","01620000","Lunenburg","Expenditures Per Pupil","Guidance, Counseling and Testing","426.0","Amount"
"2018","01620000","Lunenburg","Expenditures Per Pupil","Instructional Leadership","797.0","Amount"
"2018","01620000","Lunenburg","Expenditures Per Pupil","Instructional Materials, Equipment and Technology","222.0","Amount"
